League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
South America Copa Libertadores,2023-03-02 21:00:00,0,Fortaleza,Deportivo Maldonado,1.33,3.73,8.41,1.07,7.5,1.4,2.75,2.1,1.67,1.42,2.6,2.5,1.5,1.03,1.25,2.88,1.0,1.0,0.0,0.0,0.0,1.29,11.0,4.7,1.25,1.55,1.85,2.3,3.2
South America Copa Libertadores,2023-03-02 21:00:00,0,Millonarios,CD Universidad Católica,1.62,3.14,4.87,1.08,9.25,1.4,2.8,2.15,1.66,1.44,2.63,2.1,1.67,1.11,1.22,2.15,1.0,1.0,0.0,0.0,0.0,1.32,6.5,3.85,0.0,0.0,2.05,0.0,0.0
Australia A-League,2023-03-03 05:45:00,19,Adelaide United,Melbourne City FC,3.75,3.7,1.9,1.02,15.0,1.18,4.75,1.5,2.31,1.28,3.4,1.49,2.45,1.66,1.28,1.35,2.13,1.89,1.61,1.88,3.49,2.64,8.5,1.64,1.12,1.25,1.4,1.73,2.17
Japan J1 League,2023-03-03 07:00:00,3,Yokohama F. Marinos,Sanfrecce Hiroshima,2.05,3.3,3.2,1.03,11.0,1.22,4.0,1.74,2.1,1.33,3.25,1.62,2.2,1.29,1.22,1.85,3.0,0.0,1.93,0.0,1.93,1.68,7.4,2.75,1.41,1.75,2.25,3.04,4.4
Egypt Egyptian Premier League,2023-03-03 12:00:00,20,Coca-Cola,Ismaily SC,1.8,3.1,4.33,1.07,7.0,1.43,2.63,2.35,1.52,1.51,2.46,2.08,1.71,1.23,1.32,1.84,2.0,0.89,1.32,1.39,2.71,1.6,7.7,2.86,1.35,1.7,2.12,2.78,4.0
Bulgaria First League,2023-03-03 12:30:00,22,Lokomotiv Sofia 1929,CSKA 1948 Sofia,3.7,3.2,1.95,1.06,8.0,1.3,3.4,1.9,1.95,1.36,3.0,1.73,2.0,1.83,1.29,1.22,1.8,1.3,1.53,1.8,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia Prva HNL,2023-03-03 13:00:00,24,Istra 1961,Rijeka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.64,1.67,1.22,1.46,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia Russian Premier League,2023-03-03 13:00:00,18,Fakel,Khimki,1.75,3.5,3.93,1.01,9.6,1.25,3.48,1.82,1.88,1.37,2.96,1.78,1.97,1.22,1.27,2.02,1.13,0.38,1.53,1.24,2.77,1.55,8.5,3.1,1.33,1.54,1.96,2.55,3.3
Poland Ekstraklasa,2023-03-03 14:00:00,23,Stal Mielec,Piast Gliwice,2.65,3.2,2.65,1.08,7.0,1.4,2.8,2.03,1.83,1.46,2.5,1.87,1.8,1.57,1.33,1.36,1.45,1.09,1.49,1.13,2.62,2.22,7.7,1.95,1.21,1.41,1.75,2.19,2.93
Turkey Süper Lig,2023-03-03 14:00:00,24,Alanyaspor,İstanbul Başakşehir,2.9,3.2,2.4,1.05,13.0,1.27,3.61,1.78,1.93,1.36,3.0,1.67,2.1,1.55,1.31,1.4,1.73,1.5,1.64,1.6,3.24,1.97,7.5,2.21,1.25,1.57,2.0,2.4,3.28
Egypt Egyptian Premier League,2023-03-03 14:00:00,20,Pyramids FC,Zamalek,2.0,3.0,3.6,0.0,0.0,0.0,0.0,2.6,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,1.5,1.67,1.75,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
