League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
8595,2023-02-04 21:30:00,2,Lanús,San Lorenzo,2.62,2.8,3.0,1.12,5.75,1.55,2.3,2.63,1.41,1.58,2.2,2.15,1.61,1.37,1.42,1.5,0.0,0.0,0.0,0.0,0.0,1.75,7.5,2.45,1.31,1.58,2.04,2.69,3.64
8595,2023-02-04 21:30:00,2,Argentinos Juniors,Racing Club,2.45,3.0,3.0,1.08,8.0,1.45,2.75,2.25,1.55,1.49,2.45,2.0,1.78,1.38,1.3,1.57,0.0,0.0,0.0,0.0,0.0,1.75,8.0,2.44,1.29,1.56,1.98,2.62,3.64
Australia A-League,2023-02-05 01:00:00,15,Western Sydney Wanderers,Western United,2.05,3.4,3.4,1.05,11.0,1.3,3.4,1.94,1.87,1.4,2.75,1.75,2.0,1.31,1.3,1.7,1.83,0.67,1.26,1.39,2.65,1.75,8.5,2.35,1.11,1.25,1.49,1.83,2.32
Turkey Süper Lig,2023-02-05 07:30:00,23,İstanbulspor,Alanyaspor,3.0,3.5,2.25,1.04,15.0,1.21,4.22,1.56,2.43,1.33,3.25,1.6,2.25,1.62,1.25,1.36,0.56,0.6,1.2,1.52,2.72,2.6,6.5,1.78,1.3,1.55,1.88,2.3,3.2
Portugal LigaPro,2023-02-05 08:00:00,19,FC Penafiel,CD Mafra,2.15,3.0,3.2,1.07,7.5,1.38,2.9,2.21,1.7,1.44,2.63,1.83,1.83,1.25,1.25,1.7,0.88,1.0,1.78,1.57,3.35,1.45,6.0,3.15,1.18,1.35,1.61,2.03,2.6
Netherlands Eredivisie,2023-02-05 08:15:00,20,Cambuur,Ajax,10.0,5.5,1.29,1.02,19.0,1.16,4.93,1.49,2.4,1.25,3.75,1.95,1.8,3.75,1.12,1.03,0.3,2.1,1.55,2.04,3.59,4.75,10.0,1.28,1.29,1.48,1.78,2.2,2.85
Netherlands Eerste Divisie,2023-02-05 08:15:00,23,Roda JC,MVV,1.53,4.2,5.0,1.03,11.0,1.2,4.33,1.62,2.2,1.29,3.5,1.67,2.1,1.12,1.2,2.45,1.55,1.0,1.68,1.15,2.83,1.19,8.0,5.75,1.19,1.3,1.55,1.92,2.5
Poland Ekstraklasa,2023-02-05 08:30:00,19,Radomiak Radom,Stal Mielec,2.15,3.1,3.2,1.03,8.0,1.35,2.98,1.88,1.73,1.44,2.63,1.95,1.8,1.25,1.33,1.7,1.11,1.44,1.79,1.38,3.17,1.51,8.5,3.16,1.25,1.47,1.8,2.38,3.25
Italy Serie A,2023-02-05 08:30:00,21,Spezia,Napoli,8.5,4.6,1.4,1.03,15.0,1.2,4.5,1.66,2.23,1.3,3.4,1.95,1.8,2.95,1.18,1.09,1.2,2.5,1.5,1.78,3.28,3.75,8.5,1.38,1.35,1.57,1.91,2.4,3.15
Scotland Premiership,2023-02-05 09:00:00,25,St. Johnstone,Celtic,13.0,6.5,1.2,1.02,25.5,1.14,5.75,1.44,2.7,1.22,4.0,1.91,1.91,4.14,1.11,1.03,1.0,2.58,1.13,2.27,3.4,10.0,15.0,1.09,1.18,1.26,1.5,1.9,2.3
