League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
China Chinese Super League,2022-12-19 08:00:00,29,Shandong Luneng,Shenzhen,1.12,9.4,21.0,1.01,17.0,1.11,5.5,1.42,2.62,1.21,3.92,2.5,1.48,1.01,1.06,6.3,2.64,1.0,1.95,1.32,3.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2022-12-19 09:45:00,8,Ceramica Cleopatra,El Daklyeh FC,1.83,3.0,4.2,1.11,6.2,1.47,2.56,2.4,1.5,1.52,2.43,2.25,1.61,1.17,1.3,1.8,1.75,0.33,1.7,1.24,2.94,1.41,9.0,3.66,0.0,1.51,1.94,2.5,0.0
Egypt Egyptian Premier League,2022-12-19 12:00:00,8,Smouha SC,Al Ittihad,3.1,2.8,2.45,1.05,6.75,1.41,2.65,2.25,1.6,1.49,2.4,1.9,1.83,1.49,1.36,1.4,0.67,1.0,1.23,1.49,2.72,2.01,6.8,2.17,1.29,1.62,2.0,2.53,3.6
Egypt Egyptian Premier League,2022-12-19 12:00:00,8,Coca-Cola,Ghazl El Mehalla,1.65,3.4,5.5,1.06,7.0,1.41,2.65,2.0,1.75,1.5,2.45,2.23,1.6,1.11,1.28,2.14,2.33,2.33,1.47,1.21,2.68,1.42,8.1,3.6,1.3,1.56,1.99,2.6,3.75
Egypt Egyptian Premier League,2022-12-19 14:00:00,8,Pyramids FC,Aswan FC,1.67,3.25,4.75,1.1,6.6,1.49,2.51,2.4,1.5,1.49,2.45,2.47,1.48,1.12,1.26,2.25,2.33,0.75,1.51,1.06,2.57,1.18,13.0,5.6,1.31,1.58,2.03,2.7,0.0
Romania Liga I,2022-12-19 15:00:00,21,FCSB,Botoşani,1.4,3.9,6.75,1.05,8.0,1.29,3.3,2.0,1.7,1.36,2.88,2.32,1.57,1.08,1.2,2.64,1.9,1.0,2.05,1.08,3.13,1.15,11.0,7.9,1.43,1.8,2.34,3.18,4.4
Italy Serie B,2022-12-19 16:30:00,18,Perugia,Venezia,2.4,3.1,2.6,1.07,7.0,1.38,2.8,2.25,1.57,1.5,2.5,1.91,1.91,1.38,1.38,1.55,1.0,1.5,1.49,1.66,3.15,1.71,7.8,2.67,1.21,1.43,1.78,2.26,2.98
Spain Segunda División,2022-12-19 17:00:00,21,Leganés,Real Zaragoza,2.3,2.75,3.1,1.11,6.5,1.5,2.45,2.75,1.4,1.62,2.2,2.2,1.62,1.33,1.38,1.57,1.8,0.9,1.43,1.21,2.64,1.93,7.5,2.34,1.33,1.63,2.1,2.81,3.88
England Championship,2022-12-19 17:00:00,23,Wigan Athletic,Sheffield United,3.62,3.38,2.05,1.07,9.5,1.38,3.1,2.11,1.73,1.44,2.63,1.83,1.83,1.83,1.28,1.26,0.82,1.82,1.38,1.36,2.74,2.59,7.7,1.75,1.25,1.49,1.88,2.42,3.28
