League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
USA USL Championship,2023-03-18 21:00:00,0,Colorado Springs,Hartford Athletic,1.67,3.6,4.2,1.03,11.0,1.2,4.33,1.57,2.3,1.29,3.5,1.6,2.25,1.19,1.22,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ecuador Primera Categoría Serie A,2023-03-18 21:00:00,3,CSD Independiente del Valle,Barcelona,1.86,3.08,3.6,1.05,7.2,1.39,2.67,1.97,1.74,1.5,2.5,2.2,1.62,1.21,1.27,1.93,3.0,0.0,1.57,1.69,3.26,1.41,8.2,3.64,1.29,1.53,2.0,2.55,3.5
Argentina Primera División,2023-03-18 21:30:00,8,Atlético Tucumán,Barracas Central,1.77,3.3,4.75,1.08,7.25,1.39,2.75,2.15,1.61,1.47,2.45,2.05,1.66,1.18,1.3,1.98,1.33,1.0,1.17,1.16,2.33,1.37,9.0,3.7,1.29,1.53,2.0,2.55,3.5
Argentina Primera División,2023-03-18 21:30:00,8,Godoy Cruz,Belgrano,0.0,3.03,3.53,1.09,7.25,1.48,2.45,2.5,1.48,1.58,2.25,2.15,1.62,1.28,1.32,1.68,2.0,1.75,1.52,1.23,2.75,1.59,8.0,2.8,1.29,1.53,1.98,2.55,3.5
USA MLS,2023-03-18 21:30:00,0,Chicago Fire,FC Cincinnati,2.3,3.5,2.85,1.04,12.0,1.25,3.75,1.75,2.05,1.35,2.95,1.61,2.15,1.43,1.3,1.52,1.0,1.0,0.99,1.37,2.36,1.75,8.0,2.44,1.24,1.55,1.85,2.3,3.2
USA MLS,2023-03-18 21:30:00,0,FC Dallas,Sporting KC,1.9,3.6,3.85,1.02,9.5,1.25,3.65,1.88,1.88,1.3,3.0,1.76,2.02,1.27,1.3,1.89,1.5,0.5,1.33,1.9,3.23,1.85,8.0,2.28,1.23,1.55,1.93,2.3,3.08
USA MLS,2023-03-18 21:30:00,0,Houston Dynamo,Austin,2.35,3.45,2.8,1.03,15.0,1.2,4.7,1.75,2.05,1.25,3.4,1.54,2.4,1.44,1.3,1.62,0.0,3.0,0.0,1.21,1.21,1.91,8.0,2.2,1.16,1.43,1.67,2.05,2.6
USA MLS,2023-03-18 21:30:00,0,St. Louis City,SJ Earthquakes,1.85,3.75,3.75,0.0,0.0,0.0,0.0,1.75,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.38,1.44,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina Prim B Nacional,2023-03-18 21:35:00,6,Quilmes,Estudiantes Caseros,2.2,3.05,3.68,1.12,5.5,1.56,2.27,2.7,1.35,1.64,2.16,2.2,1.62,1.28,1.35,1.55,3.0,3.0,1.87,1.25,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peru Primera División,2023-03-18 22:00:00,9,Universitario,ADT,1.44,3.9,6.5,0.0,0.0,0.0,0.0,1.75,1.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.8,1.55,3.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico Liga MX,2023-03-18 22:05:00,12,Tigres UANL,Monterrey,2.26,3.4,3.17,1.05,9.25,1.26,3.5,1.88,1.82,1.4,2.75,1.75,2.0,1.35,1.31,1.67,1.88,1.94,2.04,1.79,3.83,1.64,8.5,2.66,1.22,1.43,1.78,2.25,3.04
USA MLS,2023-03-18 22:30:00,0,Colorado Rapids,Minnesota United,1.95,3.45,3.75,1.05,9.0,1.25,3.6,1.75,2.05,1.36,3.0,1.67,2.1,1.3,1.25,1.75,1.0,3.0,1.46,1.21,2.67,1.64,8.5,2.66,1.17,1.48,1.73,2.1,2.7
