League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Greece Super League,2023-03-08 12:30:00,21,Atromitos,AEK Athens,6.5,4.25,1.42,1.04,11.0,1.28,3.6,1.78,1.92,1.36,3.0,2.0,1.75,2.65,1.18,1.09,1.82,1.92,1.37,1.62,2.99,6.0,8.0,1.16,1.35,1.65,2.12,2.9,3.5
Estonia Meistriliiga,2023-03-08 13:00:00,2,Paide,Tallinna FC Levadia,2.23,3.2,2.77,1.05,11.5,1.28,3.33,1.88,1.83,1.39,2.88,1.72,2.0,1.46,1.29,1.49,3.0,0.0,1.55,0.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estonia Meistriliiga,2023-03-08 13:00:00,11,Vaprus,Trans,3.2,3.4,1.94,1.03,13.75,1.23,3.72,1.82,1.88,1.38,2.73,1.65,2.1,1.72,1.26,1.32,0.0,0.0,0.0,1.11,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2023-03-08 14:00:00,21,Ismaily SC,Pharco,2.35,2.73,3.3,1.12,6.0,1.56,2.27,2.75,1.4,1.59,2.14,2.05,1.71,1.29,1.36,1.41,0.67,1.11,1.32,1.12,2.44,1.57,7.8,2.94,1.27,1.6,1.97,2.48,3.42
Estonia Meistriliiga,2023-03-08 14:00:00,2,Nõmme Kalju,Tallinna FC Flora,4.94,3.95,1.59,1.03,14.0,1.22,4.0,1.78,2.01,1.35,3.06,1.78,1.99,2.05,1.22,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia SuperLiga,2023-03-08 14:30:00,25,Partizan,Kolubara,1.14,6.5,13.25,1.03,12.0,1.17,4.5,1.53,2.35,1.25,3.75,2.2,1.62,1.02,1.06,4.2,1.83,0.42,2.07,1.24,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland Ekstraklasa,2023-03-08 14:45:00,19,Wisła Płock,Warta Poznań,2.71,3.06,2.88,1.08,7.0,1.36,2.95,2.0,1.7,1.46,2.5,1.9,1.78,1.29,1.34,1.66,1.9,2.0,1.64,1.17,2.81,1.75,8.0,2.44,1.23,1.44,1.75,2.2,2.9
Scotland Premiership,2023-03-08 16:45:00,17,Livingston,Dundee United,2.09,3.32,3.96,1.07,9.0,1.36,3.1,2.1,1.65,1.44,2.63,1.95,1.8,1.29,1.34,1.81,1.5,0.54,1.28,1.16,2.44,1.78,8.0,2.54,1.18,1.29,1.55,1.93,2.5
Scotland Premiership,2023-03-08 16:45:00,27,Celtic,Hearts,1.22,6.98,11.49,1.02,15.0,1.11,6.5,1.33,3.0,1.2,4.1,1.87,1.87,1.01,1.08,4.5,3.0,1.08,2.58,1.28,3.86,1.19,11.0,5.65,1.11,1.32,1.65,2.0,2.5
Scotland Premiership,2023-03-08 16:45:00,27,Hibernian,Rangers,5.6,4.37,1.59,1.02,15.0,1.2,4.33,1.65,2.1,1.29,3.35,1.75,2.05,2.45,1.17,1.14,1.85,2.23,1.92,1.87,3.79,3.48,9.0,1.41,1.13,1.32,1.65,2.0,2.5
Europe UEFA Champions League,2023-03-08 17:00:00,0,Tottenham Hotspur,AC Milan,1.95,3.48,3.9,1.06,10.0,1.33,3.5,1.97,1.83,1.4,2.75,1.8,1.95,1.26,1.26,1.87,1.57,1.86,1.87,1.81,3.68,1.48,8.8,3.35,1.28,1.54,1.93,2.5,3.34
Europe UEFA Champions League,2023-03-08 17:00:00,0,Bayern München,PSG,1.83,3.99,3.83,1.02,20.0,1.16,5.6,1.5,2.55,1.25,3.75,1.5,2.5,1.29,1.22,1.9,3.0,2.0,2.4,1.78,4.18,1.69,8.3,2.67,1.28,1.55,1.94,2.53,3.42
South America Copa Libertadores,2023-03-08 19:00:00,0,Magallanes,Independiente Medellín,2.25,3.1,3.25,1.08,8.0,1.42,2.85,2.25,1.57,1.47,2.45,1.95,1.75,1.32,1.34,1.61,3.0,2.0,2.33,1.56,3.89,1.55,5.75,2.8,1.32,1.62,2.2,3.1,4.5
Paraguay Division Profesional,2023-03-08 19:30:00,2,Nacional Asunción,Olimpia,3.45,3.41,2.09,0.0,0.0,0.0,0.0,1.87,1.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.89,2.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
