League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Italy Serie B,2022-12-08 08:30:00,16,Parma,Benevento,1.8,3.25,4.0,1.03,9.5,1.33,3.0,2.0,1.7,1.47,2.79,1.83,1.8,1.23,1.33,1.94,2.0,1.29,1.64,1.45,3.09,1.53,8.4,3.18,1.18,1.43,1.67,2.05,2.6
Egypt Egyptian Premier League,2022-12-08 09:45:00,6,ENPPI,Haras El Hodood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.95,1.13,2.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2022-12-08 09:45:00,6,Smouha SC,Aswan FC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.89,0.83,1.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain Segunda División,2022-12-08 10:00:00,19,Burgos CF,SD Eibar,3.05,2.75,2.3,1.09,7.25,1.53,2.43,2.6,1.44,1.55,2.3,2.05,1.68,1.48,1.32,1.4,2.0,1.0,1.32,1.39,2.71,2.27,7.5,1.95,1.4,1.67,2.1,2.63,4.0
Italy Serie B,2022-12-08 11:00:00,16,Cittadella,Bari 1908,2.35,3.0,2.75,1.07,8.25,1.4,2.8,2.2,1.6,1.51,2.4,1.9,1.85,1.33,1.3,1.5,1.43,1.88,1.85,1.24,3.09,1.67,7.7,2.8,1.4,1.67,2.1,2.63,0.0
Italy Serie B,2022-12-08 11:00:00,16,Cosenza,Brescia,3.1,3.05,2.15,0.0,0.0,0.0,0.0,2.2,1.6,1.44,2.63,1.95,1.8,0.0,0.0,0.0,1.43,1.14,1.15,1.61,2.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy Serie B,2022-12-08 11:00:00,16,Genoa,Südtirol,1.5,3.75,5.25,1.06,10.75,1.3,3.3,1.95,1.75,1.4,2.75,2.05,1.72,1.08,1.18,2.45,1.14,1.57,1.75,1.5,3.25,1.15,11.75,7.5,1.3,1.62,2.0,2.5,3.65
Italy Serie B,2022-12-08 11:00:00,16,Modena,Venezia,2.2,3.15,2.85,1.06,8.0,1.32,3.1,1.95,1.75,1.41,2.65,1.75,1.93,1.35,1.33,1.57,1.43,1.57,1.66,1.63,3.29,1.56,8.2,3.08,1.2,1.48,1.73,2.1,2.7
Italy Serie B,2022-12-08 11:00:00,16,Perugia,SPAL,2.05,3.05,3.35,1.06,8.75,1.38,2.9,2.15,1.62,1.47,2.5,1.9,1.83,1.22,1.28,1.7,1.0,0.71,1.54,1.52,3.06,1.58,8.2,3.07,1.2,1.48,1.73,2.1,2.7
Italy Serie B,2022-12-08 11:00:00,16,Reggina,Frosinone,2.4,3.0,2.75,1.06,8.5,1.36,2.95,2.1,1.65,1.51,2.4,1.83,1.9,1.38,1.33,1.5,2.29,1.63,1.92,1.81,3.73,2.52,8.0,1.75,1.25,1.55,1.85,2.3,3.28
Egypt Egyptian Premier League,2022-12-08 12:00:00,6,Coca-Cola,Al Ittihad,1.9,2.95,3.9,1.05,8.0,1.35,3.1,2.1,1.65,1.42,2.65,1.87,1.86,1.2,1.32,1.79,2.0,3.0,1.74,1.17,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain Segunda División,2022-12-08 12:15:00,19,CD Lugo,Sporting Gijón,2.95,2.95,2.3,1.05,7.2,1.4,2.8,2.4,1.5,1.44,2.62,1.95,1.81,1.52,1.35,1.41,1.11,0.89,1.28,1.32,2.6,2.54,8.0,1.69,1.3,1.58,1.9,2.7,3.75
