League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Venezuela Primera División,2023-04-09 21:00:00,9,Monagas,Portuguesa,1.77,3.44,4.66,1.07,8.5,1.39,2.78,2.2,1.53,1.48,2.5,2.1,1.68,1.16,1.27,2.0,2.0,1.5,1.95,1.08,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mexico Liga MX,2023-04-09 21:05:00,14,Santos Laguna,Pachuca,2.47,3.32,2.61,1.02,12.5,1.18,4.3,1.65,2.1,1.33,3.25,1.53,2.38,1.45,1.25,1.52,2.06,1.83,1.95,1.74,3.69,1.81,9.3,2.35,1.18,1.33,1.6,2.0,2.7
Argentina Primera División,2023-04-09 21:30:00,10,Boca Juniors,Colón,1.75,3.6,4.75,1.06,9.0,1.38,3.0,2.15,1.68,1.44,2.6,2.05,1.75,1.17,1.25,2.1,1.33,1.2,1.67,1.22,2.89,1.37,9.0,3.7,1.27,1.5,2.0,2.5,3.5
Colombia Categoria Primera B,2023-04-09 22:30:00,11,Cortuluá,Fortaleza CEIF,1.72,3.44,4.84,1.05,8.65,1.4,2.72,2.2,1.57,1.48,2.5,2.07,1.72,1.16,1.25,2.05,1.83,0.8,1.75,1.34,3.09,1.6,8.4,2.68,1.48,1.7,2.12,2.98,0.0
Mexico Liga MX,2023-04-09 23:10:00,14,Juárez,Atlas,2.54,3.07,2.7,1.07,8.25,1.41,2.7,2.2,1.55,1.5,2.5,2.0,1.75,1.42,1.37,1.37,1.25,0.6,1.43,1.34,2.77,1.86,8.7,2.31,1.3,1.57,1.98,2.7,3.8
Australia A-League,2023-04-10 03:00:00,23,Melbourne City FC,Wellington Phoenix,1.49,5.0,5.6,1.02,20.0,1.13,5.25,1.45,2.63,1.25,3.75,1.62,2.2,1.07,1.17,2.65,2.5,1.09,2.05,1.62,3.67,1.37,10.5,3.88,1.13,1.28,1.53,1.9,2.42
Italy Serie B,2023-04-10 07:30:00,32,Benevento,SPAL,2.05,3.25,3.6,1.08,7.5,1.4,2.96,2.11,1.67,1.5,2.5,1.95,1.8,1.25,1.35,1.72,0.81,0.94,1.37,1.38,2.75,1.64,8.5,2.66,1.19,1.33,1.6,2.05,2.7
Denmark 1st Division,2023-04-10 08:00:00,2,Hobro,Hillerød,2.6,3.25,2.8,1.08,6.5,1.32,3.1,2.25,1.62,1.42,2.65,1.91,1.8,1.42,1.35,1.32,1.13,1.48,1.57,1.45,3.02,1.92,8.2,2.24,1.35,1.64,2.1,2.85,4.0
Sweden Superettan,2023-04-10 08:00:00,2,Gefle,Helsingborg,3.1,3.2,2.2,1.05,10.0,1.33,3.25,1.96,1.77,1.4,2.7,1.8,1.95,1.52,1.33,1.32,3.0,0.0,0.0,0.0,0.0,2.6,7.0,1.74,1.29,1.53,1.92,2.55,3.5
Sweden Allsvenskan,2023-04-10 08:00:00,2,Värnamo,Mjällby,2.78,3.05,2.27,1.07,9.5,1.36,3.2,2.01,1.71,1.44,2.63,1.8,1.95,1.47,1.3,1.53,0.0,3.0,0.0,0.0,0.0,1.86,7.5,2.28,1.14,1.29,1.55,1.92,2.5
England Championship,2023-04-10 08:30:00,41,Huddersfield Town,Blackburn Rovers,2.8,2.85,2.38,1.07,7.5,1.38,2.8,2.29,1.55,1.46,2.5,1.93,1.77,1.61,1.32,1.34,1.3,1.05,1.26,1.06,2.32,1.88,8.9,2.29,1.26,1.48,1.85,2.43,3.3
Greece Super League 2,2023-04-10 08:45:00,19,Anagennisi Karditsas,PAOK II,1.62,3.3,5.0,0.0,0.0,0.0,0.0,2.0,1.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,1.63,1.56,1.07,2.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
