League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Turkey Süper Lig,2023-02-01 11:00:00,22,Kasımpaşa,Giresunspor,2.11,3.5,3.2,1.05,13.0,1.22,4.12,1.67,2.05,1.33,3.25,1.62,2.2,1.33,1.25,1.7,1.0,1.0,1.66,1.38,3.04,1.57,8.5,2.75,1.18,1.43,1.67,2.05,2.6
Turkey Süper Lig,2023-02-01 11:00:00,22,Gazişehir Gaziantep,Hatayspor,2.14,3.45,3.2,1.05,13.0,1.25,3.82,1.8,1.98,1.36,3.0,1.7,2.05,1.25,1.29,1.8,1.11,0.7,1.63,1.36,2.99,1.5,8.5,3.1,1.24,1.55,1.85,2.3,3.3
Turkey Süper Lig,2023-02-01 14:00:00,22,Trabzonspor,Antalyaspor,1.24,2.62,3.69,1.05,13.0,1.27,3.61,1.75,2.08,1.36,3.0,1.89,1.85,1.14,1.24,2.34,2.4,0.88,2.15,1.35,3.5,1.5,8.5,3.1,1.4,1.67,2.1,2.63,4.0
Turkey Süper Lig,2023-02-01 14:00:00,22,Galatasaray,Ümraniyespor,1.1,5.57,10.7,1.01,26.0,1.11,6.09,1.46,2.65,1.25,3.75,1.83,1.93,1.07,1.14,3.84,2.44,1.0,2.34,1.54,3.88,1.08,15.0,8.5,1.15,1.26,1.47,1.93,2.37
Belgium First Division B,2023-02-01 14:30:00,18,Club Brugge II,Lierse Kempenzonen,2.31,3.7,2.7,0.0,0.0,0.0,0.0,1.44,2.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.22,1.33,1.69,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belgium Pro League,2023-02-01 14:45:00,22,AS Eupen,KRC Genk,6.3,4.74,1.12,1.03,12.5,1.19,4.33,1.57,2.25,1.27,3.4,1.78,1.9,2.8,1.19,1.12,0.9,2.4,1.67,1.56,3.23,3.8,8.5,1.35,1.18,1.32,1.45,1.77,2.28
Poland Ekstraklasa,2023-02-01 15:00:00,2,Miedź Legnica,Lech Poznań,4.0,3.55,1.85,1.05,9.0,1.25,3.75,1.8,1.98,1.33,3.25,1.67,2.1,2.0,1.29,1.18,1.0,2.0,1.46,1.88,3.34,3.46,7.0,1.55,1.3,1.53,1.95,2.45,3.2
France Ligue 1,2023-02-01 15:00:00,21,Nantes,Olympique Marseille,4.74,3.6,1.15,1.05,12.0,1.3,3.6,1.87,1.94,1.36,3.0,1.75,2.0,1.87,1.29,1.23,1.56,2.22,1.56,1.61,3.17,2.6,7.5,1.66,1.37,1.62,1.98,2.55,3.4
France Ligue 1,2023-02-01 15:00:00,21,Reims,Lorient,1.39,2.66,2.18,1.05,11.0,1.32,3.4,1.93,1.88,1.4,2.75,1.8,1.95,1.22,1.29,1.9,1.44,1.8,1.82,1.41,3.23,1.56,8.0,2.9,1.38,1.62,1.98,2.55,3.4
France Ligue 1,2023-02-01 15:00:00,21,Angers SCO,Ajaccio,1.69,2.33,1.72,1.09,8.0,1.44,2.8,2.22,1.58,1.5,2.5,2.0,1.75,1.29,1.34,1.66,0.4,0.8,1.42,1.17,2.59,1.7,7.5,2.55,1.47,1.77,2.25,2.95,4.0
France Ligue 1,2023-02-01 15:00:00,21,Lille,Clermont,1.19,3.3,3.69,1.04,13.0,1.26,4.0,1.74,2.09,1.36,3.0,1.95,1.8,1.11,1.2,2.65,2.0,1.5,1.89,1.28,3.17,1.34,9.0,4.1,1.37,1.61,1.98,2.5,3.35
France Ligue 1,2023-02-01 15:00:00,21,Toulouse,Troyes,1.33,3.0,2.24,1.03,15.0,1.22,4.33,1.72,2.13,1.3,3.4,1.62,2.2,1.25,1.27,1.88,1.6,0.9,1.72,1.46,3.18,1.6,7.5,2.8,1.33,1.55,1.88,2.35,3.1
Netherlands Eredivisie,2023-02-01 16:00:00,17,RKC Waalwijk,Go Ahead Eagles,1.43,1.81,3.54,1.04,13.0,1.24,3.89,1.78,2.04,1.36,3.0,1.67,2.1,1.4,1.26,1.65,1.67,1.13,1.57,1.19,2.76,1.7,7.5,2.8,1.18,1.32,1.53,1.87,2.35
