League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Germany Bundesliga,2023-01-25 14:30:00,17,Mainz 05,Borussia Dortmund,2.8,3.6,2.4,1.03,11.0,1.2,4.33,1.68,2.2,1.3,3.4,1.57,2.25,1.61,1.27,1.39,1.0,1.13,1.66,1.86,3.52,2.09,7.7,2.09,1.3,1.53,1.85,2.3,3.0
Netherlands Eredivisie,2023-01-25 14:45:00,18,Go Ahead Eagles,AZ,3.7,3.5,1.95,1.04,13.0,1.26,3.67,1.75,1.95,1.34,2.95,1.66,2.05,1.72,1.28,1.31,1.11,2.33,1.64,1.91,3.55,2.89,7.1,1.72,1.2,1.35,1.6,1.97,2.5
Netherlands Eredivisie,2023-01-25 14:45:00,18,Vitesse,Twente,3.2,3.5,2.15,1.04,13.0,1.24,3.89,1.78,2.05,1.34,3.14,1.6,2.15,1.68,1.29,1.33,0.75,1.13,1.74,1.81,3.55,2.45,7.3,1.89,1.18,1.32,1.53,1.87,2.35
Netherlands Eredivisie,2023-01-25 16:00:00,18,Fortuna Sittard,Heerenveen,2.8,3.45,2.4,1.03,15.0,1.21,4.25,1.77,2.06,1.3,3.4,1.52,2.35,1.57,1.29,1.4,0.89,1.63,1.57,1.4,2.97,2.3,6.9,1.97,1.2,1.33,1.57,1.92,2.4
Germany Bundesliga,2023-01-25 16:30:00,17,Bayer Leverkusen,Bochum,1.44,4.5,7.0,1.02,12.0,1.18,4.75,1.57,2.3,1.29,3.5,1.75,2.0,1.11,1.2,2.65,1.38,0.38,1.85,1.3,3.15,1.4,9.0,3.4,1.33,1.57,1.91,2.4,3.0
Germany Bundesliga,2023-01-25 16:30:00,17,Freiburg,Eintracht Frankfurt,2.5,3.5,2.75,1.04,10.0,1.25,3.8,1.78,2.04,1.33,3.25,1.62,2.2,1.44,1.29,1.52,2.29,2.0,2.05,1.6,3.65,2.05,9.0,2.05,1.33,1.57,1.91,2.4,3.0
Germany Bundesliga,2023-01-25 16:30:00,17,Augsburg,Borussia M'gladbach,3.0,3.3,2.4,1.03,11.0,1.18,4.75,1.68,2.18,1.3,3.4,1.5,2.5,1.61,1.28,1.38,0.63,0.57,1.38,1.33,2.71,1.98,7.7,2.21,1.29,1.48,1.73,2.1,2.7
Germany Bundesliga,2023-01-25 16:30:00,17,Werder Bremen,Union Berlin,2.6,3.4,2.7,1.06,8.5,1.35,3.1,2.0,1.82,1.44,2.63,1.8,1.95,1.46,1.32,1.46,1.25,1.25,1.5,1.28,2.78,2.1,7.5,1.95,1.36,1.62,2.0,2.5,3.3
Netherlands Eredivisie,2023-01-25 17:00:00,18,Utrecht,Excelsior,1.5,4.25,6.5,1.03,15.0,1.19,4.45,1.61,2.15,1.31,3.32,1.78,2.0,1.12,1.17,2.65,1.5,0.44,1.54,1.14,2.68,1.12,12.5,10.0,1.2,1.33,1.57,1.92,2.4
Netherlands Eredivisie,2023-01-25 17:00:00,18,Feyenoord,NEC,1.28,5.5,11.0,1.01,21.0,1.16,4.93,1.52,2.35,1.27,3.62,1.98,1.83,1.02,1.1,3.75,2.25,1.25,2.52,1.46,3.98,1.11,13.0,10.5,1.16,1.28,1.46,1.78,2.2
