League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Australia A-League,2023-01-20 05:45:00,13,Adelaide United,Macarthur,1.9,4.1,3.55,1.01,10.75,1.17,4.5,1.58,2.4,1.3,3.4,1.57,2.25,1.3,1.26,1.8,2.0,1.33,1.67,1.52,3.19,1.64,8.5,2.64,1.11,1.21,1.5,1.83,2.25
Romania Liga I,2023-01-20 11:30:00,22,Universitatea Cluj,Voluntari,2.33,2.95,3.3,1.11,6.0,1.55,2.38,2.55,1.47,1.58,2.26,2.15,1.66,1.28,1.3,1.47,1.3,1.1,1.79,1.31,3.1,1.85,6.75,2.45,1.62,2.1,2.9,4.2,0.0
Egypt Egyptian Premier League,2023-01-20 12:00:00,14,Al Masry,Ghazl El Mehalla,1.52,3.49,5.91,1.05,8.0,1.35,2.9,2.2,1.63,1.41,2.7,2.18,1.62,1.09,1.24,2.33,1.33,1.33,1.61,0.98,2.59,1.44,8.5,3.46,1.33,1.62,2.0,2.53,3.4
Croatia Prva HNL,2023-01-20 13:00:00,18,Istra 1961,Slaven Koprivnica,2.3,3.1,3.1,0.0,0.0,0.0,0.0,2.15,1.67,0.0,0.0,1.83,1.83,0.0,0.0,0.0,1.14,1.75,1.21,1.27,2.48,1.95,7.5,2.2,0.0,0.0,0.0,0.0,0.0
Turkey Süper Lig,2023-01-20 14:00:00,20,Adana Demirspor,Giresunspor,1.55,4.35,5.0,1.02,12.0,1.17,4.7,1.62,2.3,1.3,3.4,1.67,2.1,1.16,1.2,2.3,2.5,1.0,2.14,1.4,3.54,1.5,8.5,3.1,1.27,1.57,2.0,2.4,3.42
Egypt Egyptian Premier League,2023-01-20 14:00:00,14,Ceramica Cleopatra,Smouha SC,2.07,2.9,3.65,1.07,6.75,1.41,2.65,2.32,1.54,1.48,2.48,1.98,1.76,1.23,1.35,1.67,1.29,1.17,1.5,1.14,2.64,1.65,7.9,2.73,1.27,1.52,1.87,2.32,3.15
France Ligue 2,2023-01-20 14:30:00,19,Sochaux,Caen,2.38,3.15,2.95,1.08,7.25,1.42,2.75,2.33,1.57,1.49,2.45,1.95,1.8,1.28,1.28,1.63,2.22,0.78,1.77,1.3,3.07,1.73,8.0,2.38,1.44,1.73,2.2,0.0,0.0
Germany 3. Liga,2023-01-20 15:00:00,19,Viktoria Köln,Saarbrucken,2.28,3.5,2.75,1.03,11.0,1.25,3.8,1.77,1.98,1.32,3.1,1.57,2.25,1.45,1.27,1.5,1.75,1.89,1.38,1.44,2.82,1.89,7.6,2.31,1.25,1.5,1.8,2.25,3.25
Romania Liga I,2023-01-20 15:00:00,22,Rapid Bucureşti,Sepsi,2.33,2.95,3.3,1.06,6.5,1.42,2.75,2.48,1.52,1.53,2.37,1.95,1.8,1.28,1.3,1.55,2.4,1.8,1.96,1.8,3.76,1.75,7.0,2.6,1.35,1.64,2.1,2.85,4.0
Greece Super League,2023-01-20 15:30:00,19,Panaitolikos,PAS Giannina,2.18,3.05,3.4,1.09,8.0,1.45,2.75,2.43,1.53,1.44,2.63,2.0,1.75,1.32,1.34,1.6,0.78,0.56,1.0,0.98,1.98,1.69,7.5,2.64,1.41,1.76,2.28,3.04,4.7
Netherlands Eredivisie,2023-01-20 16:00:00,17,Excelsior,Volendam,2.35,3.6,2.8,1.03,15.0,1.19,4.45,1.68,2.18,1.3,3.4,1.53,2.38,1.42,1.25,1.65,1.71,0.75,1.41,1.56,2.97,1.77,8.2,2.5,1.16,1.23,1.45,1.9,2.24
Netherlands Eerste Divisie,2023-01-20 16:00:00,21,Almere City,De Graafschap,2.22,3.5,2.82,1.04,10.0,1.22,4.0,1.7,2.05,1.33,3.25,1.57,2.3,1.36,1.29,1.62,2.2,0.89,1.56,1.47,3.03,2.08,7.6,2.0,1.18,1.34,1.61,2.02,2.7
Netherlands Eerste Divisie,2023-01-20 16:00:00,21,Den Bosch,PSV II,2.67,3.55,2.3,1.04,10.0,1.22,4.0,1.67,2.1,1.3,3.4,1.57,2.3,1.55,1.25,1.44,1.2,1.1,1.45,1.2,2.65,2.0,7.5,2.1,1.18,1.34,1.61,2.02,2.7
Netherlands Eerste Divisie,2023-01-20 16:00:00,21,MVV,Heracles,4.07,4.17,1.65,1.02,12.0,1.17,4.5,1.53,2.38,1.25,3.75,1.57,2.3,2.2,1.22,1.17,2.4,1.9,1.33,1.4,2.73,3.46,8.5,1.44,1.22,1.42,1.74,2.23,3.0
Netherlands Eerste Divisie,2023-01-20 16:00:00,21,PEC Zwolle,VVV,1.43,4.52,5.85,1.02,12.0,1.17,4.5,1.57,2.3,1.29,3.5,1.67,2.1,1.1,1.2,2.62,2.0,2.11,1.87,1.43,3.3,1.29,10.5,4.3,0.0,1.29,1.5,1.87,2.43
Netherlands Eerste Divisie,2023-01-20 16:00:00,21,Oss,NAC Breda,2.82,3.4,2.27,1.06,8.0,1.3,3.4,1.91,1.8,1.36,3.0,1.73,2.0,1.55,1.3,1.4,1.0,1.1,1.21,1.21,2.42,2.33,7.5,1.87,1.29,1.53,1.92,2.55,3.5
Netherlands Eerste Divisie,2023-01-20 16:00:00,21,Willem II,Eindhoven,1.86,3.5,3.75,1.06,8.0,1.33,3.25,1.91,1.8,1.36,3.0,1.8,1.91,1.22,1.3,1.83,1.56,1.5,1.75,1.29,3.04,1.44,8.5,3.46,1.32,1.58,2.02,2.7,3.8
