League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Chile Primera División,2023-01-22 21:00:00,1,Curicó Unido,Coquimbo Unido,1.58,3.78,4.68,1.05,10.0,1.33,3.25,2.0,1.75,1.44,2.63,1.83,1.83,1.24,1.28,1.87,3.0,0.0,0.0,0.0,0.0,1.59,8.0,2.9,1.32,1.58,2.02,2.7,3.8
Egypt Egyptian Premier League,2023-01-23 09:45:00,15,Pharco,ENPPI,2.76,2.96,2.63,1.07,6.2,1.5,2.4,2.39,1.44,1.59,2.34,2.12,1.69,1.43,1.44,1.39,0.88,1.13,1.05,1.32,2.37,1.9,7.4,2.2,1.3,1.6,1.98,2.49,3.4
Egypt Egyptian Premier League,2023-01-23 09:45:00,15,Aswan FC,Ismaily SC,2.62,3.06,2.68,1.09,7.5,1.44,2.6,2.43,1.49,1.53,2.38,2.0,1.73,1.45,1.42,1.38,1.57,0.88,1.41,1.46,2.87,2.54,7.7,1.72,1.23,1.41,1.78,2.21,2.9
Romania Liga I,2023-01-23 12:00:00,22,Chindia Târgovişte,Argeș,2.1,3.0,3.9,1.1,5.75,1.55,2.45,2.59,1.44,1.57,2.25,2.2,1.62,1.29,1.4,1.65,1.0,0.8,1.59,1.01,2.6,1.85,6.75,2.45,1.62,2.1,2.9,4.2,5.4
Turkey Süper Lig,2023-01-23 14:00:00,20,Konyaspor,Ankaragücü,2.05,3.3,3.25,1.03,10.65,1.27,3.61,1.85,1.93,1.35,2.9,1.7,2.0,1.27,1.28,1.8,1.44,0.89,1.53,1.64,3.17,1.66,7.9,2.79,1.4,1.67,2.1,2.63,3.56
Turkey Süper Lig,2023-01-23 14:00:00,20,Ümraniyespor,Fenerbahçe,5.0,4.1,1.53,1.03,17.0,1.17,4.75,1.58,2.4,1.25,3.75,1.67,2.1,2.45,1.21,1.13,0.5,2.0,1.78,1.7,3.48,3.54,8.7,1.45,1.24,1.47,1.83,2.32,3.04
Egypt Egyptian Premier League,2023-01-23 14:00:00,15,Ceramica Cleopatra,El Geish,2.05,3.0,3.7,1.08,8.0,1.44,2.65,2.4,1.53,1.54,2.36,2.0,1.75,1.22,1.3,1.68,1.13,0.43,1.5,1.23,2.73,1.6,6.9,3.03,1.29,1.51,1.85,2.37,3.1
Egypt Egyptian Premier League,2023-01-23 14:00:00,15,Al Ittihad,Haras El Hodood,1.75,3.2,4.75,1.03,8.25,1.34,2.75,2.4,1.53,1.43,2.55,1.95,1.68,1.11,1.28,2.0,1.86,0.43,1.62,1.19,2.81,1.41,9.0,3.56,1.27,1.52,1.87,2.32,3.15
Italy Serie A,2023-01-23 14:30:00,19,Bologna,Cremonese,1.83,3.13,4.2,1.06,6.7,1.33,3.08,2.1,1.75,1.44,2.63,1.95,1.8,1.21,1.39,1.84,1.67,0.44,1.37,1.71,3.08,1.69,7.7,2.73,1.31,1.6,2.06,2.73,3.74
Germany 3. Liga,2023-01-23 15:00:00,19,MSV Duisburg,Waldhof Mannheim,2.6,3.25,2.5,1.06,8.0,1.3,3.4,1.95,1.8,1.4,2.75,1.73,2.0,1.47,1.28,1.45,1.25,0.25,1.64,1.46,3.1,2.18,7.7,1.98,1.2,1.31,1.59,2.0,2.62
