League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Egypt Egyptian Premier League,2022-12-12 09:45:00,4,Ceramica Cleopatra,Haras El Hodood,1.82,2.9,4.86,1.1,6.5,1.45,2.63,2.4,1.53,1.57,2.25,2.25,1.57,1.18,1.33,1.88,0.5,0.5,1.6,1.04,2.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Egypt Egyptian Premier League,2022-12-12 12:00:00,3,Ismaily SC,Coca-Cola,3.28,3.14,2.21,1.05,7.0,1.38,2.6,2.35,1.55,1.52,2.5,2.0,1.78,1.58,1.41,1.3,0.0,3.0,0.89,1.63,2.52,2.04,7.3,2.09,1.35,1.63,2.0,2.54,3.5
Romania Liga I,2022-12-12 12:30:00,20,U Craiova 1948,Argeș,2.26,3.05,2.84,0.0,0.0,0.0,0.0,2.45,1.52,1.53,2.38,2.1,1.67,0.0,0.0,0.0,1.11,0.89,1.72,1.02,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slovenia PrvaLiga,2022-12-12 13:30:00,20,Mura,Domžale,1.83,3.36,3.7,1.05,9.0,1.3,3.4,1.83,1.83,1.32,3.04,1.65,2.18,1.22,1.23,1.83,2.11,1.33,2.05,1.5,3.55,1.45,8.3,3.32,0.0,0.0,1.67,2.05,2.67
Egypt Egyptian Premier League,2022-12-12 14:00:00,4,Al Ahly,Al Ittihad,1.45,4.3,6.45,1.04,10.5,1.25,3.75,1.81,2.0,1.34,2.98,1.93,1.83,1.08,1.18,2.58,3.0,1.5,1.45,1.3,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands Eerste Divisie,2022-12-12 14:45:00,17,AZ II,PSV II,2.21,3.4,2.91,1.03,15.0,1.22,4.2,1.65,2.1,1.33,3.25,1.57,2.25,1.41,1.27,1.58,2.13,1.0,1.9,1.18,3.08,1.7,7.9,2.69,1.33,1.61,2.06,2.75,3.9
Romania Liga I,2022-12-12 15:30:00,20,Mioveni,CS U Craiova,3.6,3.25,1.87,1.05,7.1,1.42,2.75,2.35,1.55,1.49,2.4,2.1,1.65,1.87,1.31,1.22,0.44,1.33,1.31,1.58,2.89,2.4,7.6,1.85,1.5,1.87,2.44,3.3,4.8
Italy Serie B,2022-12-12 16:30:00,17,Brescia,Parma,2.65,3.05,2.54,1.1,6.5,1.4,2.75,2.2,1.62,1.44,2.55,1.85,1.83,1.46,1.35,1.43,1.88,1.0,1.41,1.93,3.34,2.0,5.5,2.0,1.23,1.43,1.77,2.19,2.8
Netherlands Eerste Divisie,2022-12-12 17:00:00,17,PEC Zwolle,Helmond Sport,1.33,5.1,6.95,1.02,16.0,1.14,5.25,1.39,2.61,1.22,4.0,1.67,2.1,1.1,1.13,3.1,1.75,0.75,1.75,1.4,3.15,1.08,14.75,10.5,1.18,1.27,1.48,1.82,2.35
Spain Segunda División,2022-12-12 17:00:00,20,Deportivo Alavés,Levante UD,2.27,3.0,3.05,1.12,5.5,1.5,2.5,2.45,1.52,1.53,2.38,2.1,1.67,1.27,1.37,1.65,2.33,1.56,1.53,1.36,2.89,1.71,5.5,2.4,1.29,1.61,1.98,2.46,3.75
England Championship,2022-12-12 17:00:00,22,Sunderland,West Bromwich Albion,2.55,3.05,2.63,1.07,9.5,1.36,3.2,2.15,1.72,1.44,2.63,1.83,1.83,1.6,1.3,1.38,1.3,1.11,1.5,1.41,2.91,2.3,7.0,1.89,1.23,1.42,1.7,2.14,2.8
