League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Australia A-League,2023-01-08 01:00:00,11,Macarthur,Newcastle Jets FC,2.12,3.65,3.13,1.01,11.0,1.2,4.0,1.65,2.16,1.33,3.25,1.57,2.25,1.25,1.28,1.7,1.8,1.0,1.38,1.18,2.56,1.55,6.0,2.7,1.14,1.24,1.5,1.82,2.2
Turkey Süper Lig,2023-01-08 07:30:00,18,Fatih Karagümrük,Konyaspor,2.74,3.38,2.44,1.03,10.65,1.25,3.82,1.77,1.94,1.35,2.9,1.65,2.05,1.55,1.3,1.42,1.38,1.63,1.61,1.55,3.16,2.2,8.0,1.91,1.33,1.57,1.91,2.4,3.3
Portugal LigaPro,2023-01-08 08:00:00,15,Sporting Covilhã,Vilafranquense,2.85,3.27,2.21,1.08,7.5,1.39,2.75,2.2,1.62,1.5,2.5,1.91,1.8,1.58,1.33,1.36,0.14,1.57,1.42,1.42,2.84,2.25,5.5,1.76,1.15,1.3,1.58,1.9,2.35
Netherlands Eredivisie,2023-01-08 08:15:00,15,Utrecht,Feyenoord,3.63,3.78,1.92,1.02,17.0,1.17,4.71,1.57,2.35,1.29,3.5,1.57,2.25,1.95,1.24,1.24,1.57,2.29,1.59,2.13,3.72,2.68,8.2,1.71,1.16,1.27,1.5,1.87,2.43
Italy Serie A,2023-01-08 08:30:00,17,Salernitana,Torino,2.94,3.47,2.37,1.08,7.75,1.36,2.9,1.81,1.9,1.44,2.63,1.91,1.91,1.63,1.33,1.31,1.38,1.25,1.5,1.42,2.92,2.1,7.5,1.95,1.4,1.67,2.1,2.63,3.4
Belgium Pro League,2023-01-08 09:30:00,19,KRC Genk,Club Brugge,2.18,3.6,3.08,1.02,15.0,1.16,4.4,1.6,2.3,1.29,3.5,1.5,2.5,1.37,1.28,1.7,2.78,1.63,2.18,1.43,3.61,1.67,8.5,2.5,1.18,1.34,1.65,2.0,2.5
Egypt Egyptian Premier League,2023-01-08 09:45:00,12,Haras El Hodood,Ismaily SC,3.45,2.67,2.24,1.1,6.75,1.51,2.45,2.55,1.47,1.53,2.33,2.06,1.71,1.6,1.38,1.25,1.0,1.0,0.95,1.46,2.41,2.33,7.3,1.87,1.37,1.71,2.14,2.85,0.0
Egypt Egyptian Premier League,2023-01-08 09:45:00,12,National Bank of Egypt,Aswan FC,1.83,3.12,4.15,1.04,8.0,1.33,3.05,2.22,1.61,1.41,2.7,1.86,1.87,1.17,1.3,1.87,1.4,1.0,1.66,1.08,2.74,1.41,9.0,3.56,1.25,1.54,1.88,2.36,3.15
Spain Segunda División,2023-01-08 10:00:00,22,Granada CF,FC Cartagena,1.88,3.18,4.08,1.05,7.3,1.41,2.73,2.4,1.5,1.49,2.45,2.1,1.68,1.12,1.25,2.05,2.6,1.5,1.66,1.26,2.92,1.45,8.5,3.32,1.4,1.72,2.12,2.63,4.0
Spain La Liga,2023-01-08 10:00:00,16,Almería,Real Sociedad,3.75,3.37,2.05,1.06,10.0,1.36,3.2,2.07,1.68,1.44,2.63,1.95,1.8,1.78,1.31,1.24,2.14,2.14,1.4,1.78,3.18,2.75,6.0,1.62,1.29,1.57,2.0,2.65,3.2
Turkey Süper Lig,2023-01-08 10:00:00,18,Ankaragücü,Kayserispor,2.69,3.45,2.45,1.05,13.0,1.25,3.82,1.77,1.94,1.4,3.2,1.66,2.2,1.47,1.33,1.62,1.0,1.25,1.48,1.28,2.76,1.73,8.0,2.4,1.36,1.62,2.0,2.5,3.5
Turkey Süper Lig,2023-01-08 10:00:00,18,Giresunspor,Ümraniyespor,2.1,3.48,3.27,1.03,10.65,1.27,3.61,1.82,1.88,1.37,2.85,1.68,2.05,1.33,1.3,1.65,1.43,0.86,1.85,1.67,3.52,1.62,8.0,2.63,1.3,1.63,1.85,2.5,3.1
Netherlands Eredivisie,2023-01-08 10:30:00,15,NEC,Ajax,8.7,5.8,1.29,1.02,19.0,1.14,5.38,1.55,2.4,1.25,3.75,1.7,2.05,2.95,1.15,1.1,1.14,2.29,2.06,2.04,4.1,4.6,8.5,1.27,1.25,1.47,1.82,2.38,2.73
