League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Italy Serie A,2023-01-04 08:30:00,16,Salernitana,AC Milan,6.0,4.4,1.52,1.04,10.0,1.25,3.8,1.71,2.06,1.33,3.25,1.91,1.91,2.55,1.21,1.11,1.57,1.71,1.58,1.75,3.33,3.54,10.5,1.43,1.36,1.62,2.0,2.5,3.3
Italy Serie A,2023-01-04 08:30:00,16,Sassuolo,Sampdoria,1.78,3.8,4.5,1.05,9.0,1.3,3.4,1.92,1.89,1.4,2.75,1.91,1.91,1.22,1.28,2.05,1.57,0.57,1.46,1.4,2.86,1.43,10.5,3.54,1.33,1.57,1.91,2.4,3.2
Italy Serie A,2023-01-04 10:30:00,16,Spezia,Atalanta,4.4,3.85,1.78,1.03,11.0,1.22,4.2,1.65,2.16,1.33,3.25,1.7,2.05,2.1,1.25,1.18,1.43,2.29,1.64,1.56,3.2,2.75,8.0,1.57,1.33,1.57,1.91,2.4,3.2
Italy Serie A,2023-01-04 10:30:00,16,Torino,Hellas Verona,1.85,3.65,4.3,1.06,8.5,1.33,3.2,1.98,1.84,1.4,2.75,1.91,1.91,1.23,1.3,1.95,1.57,0.29,1.43,1.39,2.82,1.57,8.0,2.75,1.4,1.67,2.1,2.63,3.4
Turkey Süper Lig,2023-01-04 11:00:00,17,Kasımpaşa,Alanyaspor,2.36,3.45,2.8,1.04,15.0,1.19,4.5,1.62,2.21,1.36,3.4,1.53,2.45,1.45,1.33,1.65,0.88,0.75,1.71,1.54,3.25,1.73,8.0,2.4,1.25,1.5,1.8,2.25,2.8
Turkey Süper Lig,2023-01-04 11:00:00,17,Kayserispor,Fatih Karagümrük,2.02,3.6,3.4,1.04,15.0,1.19,4.5,1.61,2.23,1.36,3.4,1.6,2.35,1.33,1.3,1.87,1.86,0.71,1.56,1.4,2.96,1.53,8.5,3.0,1.27,1.55,1.85,2.3,3.0
Greece Super League,2023-01-04 12:00:00,16,Asteras Tripolis,Lamia,1.74,3.25,5.4,1.08,6.8,1.48,2.5,2.39,1.51,1.53,2.3,2.25,1.57,1.16,1.32,2.0,1.43,0.5,1.31,1.05,2.36,1.41,8.5,3.58,1.53,1.98,2.7,3.56,5.1
Egypt Egyptian Premier League,2023-01-04 12:00:00,11,Pharco,El Geish,3.05,2.55,2.6,1.1,5.4,1.53,2.35,2.73,1.4,1.64,2.12,2.16,1.62,1.44,1.4,1.33,1.0,0.4,1.11,1.36,2.47,2.05,7.4,2.05,1.26,1.55,1.91,2.37,3.2
Italy Serie A,2023-01-04 12:30:00,16,Roma,Bologna,1.6,4.0,5.6,1.05,10.0,1.33,3.35,1.92,1.89,1.4,2.75,2.0,1.75,1.16,1.24,2.28,1.43,0.57,1.81,1.21,3.02,1.36,9.0,3.6,1.33,1.57,1.91,2.4,3.2
Italy Serie A,2023-01-04 12:30:00,16,Lecce,Lazio,4.2,3.6,1.88,1.07,8.0,1.4,2.88,1.99,1.82,1.5,2.5,2.0,1.75,1.7,1.35,1.3,1.0,2.0,1.24,1.32,2.56,2.4,8.0,1.73,1.33,1.57,1.91,2.4,3.2
Greece Super League,2023-01-04 13:00:00,16,Panaitolikos,Atromitos,2.27,3.15,3.2,1.08,8.5,1.42,2.85,2.21,1.59,1.5,2.5,1.95,1.8,1.34,1.34,1.58,0.57,0.86,0.91,0.93,1.84,1.75,7.5,2.45,1.47,1.85,2.48,3.45,4.8
Turkey Süper Lig,2023-01-04 14:00:00,17,Galatasaray,Ankaragücü,1.46,4.5,6.2,1.01,13.0,1.17,4.7,1.58,2.29,1.29,3.46,1.7,2.0,1.06,1.18,2.95,2.17,1.14,2.32,1.5,3.82,1.3,9.5,4.32,1.28,1.57,1.91,2.4,3.1
Turkey Süper Lig,2023-01-04 14:00:00,17,Konyaspor,Sivasspor,2.03,3.35,3.55,1.05,9.0,1.31,3.33,1.95,1.83,1.47,2.85,1.8,2.0,1.3,1.35,1.85,1.71,0.86,1.45,1.25,2.7,1.53,8.5,2.88,1.33,1.57,1.91,2.4,3.5
Italy Serie A,2023-01-04 14:30:00,16,Cremonese,Juventus,5.2,3.9,1.65,1.05,9.0,1.3,3.4,1.93,1.88,1.4,2.75,1.95,1.8,2.28,1.25,1.15,0.43,1.57,1.54,1.29,2.83,2.2,8.0,1.91,1.36,1.62,2.0,2.5,3.3
Italy Serie A,2023-01-04 14:30:00,16,Fiorentina,Monza,1.74,3.85,4.7,1.04,10.0,1.29,3.6,1.91,1.9,1.36,3.0,1.8,1.95,1.19,1.22,2.15,1.57,0.57,2.17,1.36,3.53,1.33,9.0,3.74,1.4,1.67,2.1,2.63,3.4
Greece Super League,2023-01-04 15:00:00,16,PAOK,Aris,1.82,3.35,4.33,1.08,8.5,1.4,2.95,2.11,1.62,1.44,2.63,1.95,1.8,1.23,1.32,1.82,2.29,1.14,1.91,1.5,3.41,1.75,7.5,2.53,1.38,1.72,2.25,3.1,4.1
England Premier League,2023-01-04 16:30:00,19,Southampton,Nottingham Forest,1.84,3.75,4.2,1.07,10.0,1.35,3.35,1.85,1.96,1.44,2.63,1.91,1.91,1.25,1.31,1.78,0.75,0.25,1.68,0.95,2.63,1.47,10.5,3.3,1.15,1.28,1.5,1.9,2.45
Italy Serie A,2023-01-04 16:45:00,16,Inter Milan,Napoli,2.25,3.5,3.1,1.03,11.0,1.22,4.2,1.65,2.16,1.33,3.25,1.57,2.25,1.38,1.32,1.62,2.57,2.71,1.92,1.89,3.81,1.73,8.0,2.4,1.3,1.55,1.85,2.3,3.0
Italy Serie A,2023-01-04 16:45:00,16,Udinese,Empoli,1.59,4.2,5.4,1.03,11.0,1.2,4.33,1.94,1.94,1.3,3.4,1.75,2.0,1.18,1.25,2.25,1.71,0.86,1.67,1.35,3.02,1.45,8.5,3.24,1.3,1.55,1.85,2.3,3.0
England Premier League,2023-01-04 16:45:00,19,Leeds United,West Ham United,2.85,3.5,2.43,1.05,13.0,1.26,4.05,1.85,1.96,1.33,3.25,1.62,2.2,1.49,1.29,1.47,1.38,0.5,1.58,1.56,3.14,1.95,7.6,2.2,1.19,1.38,1.65,2.0,2.5
England Premier League,2023-01-04 17:00:00,19,Aston Villa,Wolverhampton Wanderers,2.28,3.45,3.1,1.07,10.0,1.35,3.35,2.0,1.82,1.4,2.75,1.8,1.95,1.27,1.29,1.77,1.63,0.63,1.47,1.6,3.07,1.8,7.9,2.5,1.23,1.42,1.73,2.22,2.95
England Premier League,2023-01-04 17:00:00,19,Crystal Palace,Tottenham Hotspur,3.65,3.65,1.98,1.05,11.0,1.3,3.7,1.85,1.96,1.36,3.0,1.7,2.05,1.66,1.31,1.32,1.63,1.5,1.46,1.58,3.04,2.13,7.4,2.02,1.29,1.48,1.73,2.1,2.7
