League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Australia A-League,2022-12-18 01:00:00,8,Western United,Western Sydney Wanderers,2.4,3.2,2.7,1.04,12.0,1.25,3.6,1.8,1.9,1.36,3.0,1.67,2.1,1.5,1.3,1.46,0.33,2.33,2.27,1.57,3.84,2.22,8.1,1.95,0.0,1.22,1.44,1.76,2.22
Australia A-League,2022-12-18 03:00:00,8,Macarthur,Perth Glory FC,1.83,3.55,3.7,1.02,15.0,1.22,3.8,1.7,2.0,1.33,3.25,1.62,2.2,1.31,1.28,1.72,1.0,0.6,1.51,1.14,2.65,1.64,8.3,2.87,0.0,1.27,1.52,1.88,2.42
Romania Liga I,2022-12-18 07:00:00,21,Argeș,Mioveni,2.2,3.04,3.54,0.0,0.0,1.56,2.35,2.75,1.4,1.57,2.25,2.2,1.62,0.0,0.0,0.0,1.4,0.4,1.49,1.25,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England Championship,2022-12-18 08:30:00,23,Luton Town,Millwall,2.23,3.15,3.05,1.09,8.5,1.44,2.8,2.25,1.57,1.5,2.5,1.83,1.83,1.38,1.34,1.53,1.18,0.82,1.92,1.38,3.3,1.8,7.9,2.47,1.2,1.4,1.74,2.18,2.88
Belgium First Division B,2022-12-18 09:30:00,18,RSC Anderlecht II,RWDM,2.92,3.6,2.0,0.0,0.0,0.0,0.0,1.65,2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.38,1.73,1.52,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romania Liga I,2022-12-18 09:30:00,21,Petrolul 52,U Craiova 1948,2.58,3.04,2.84,1.09,6.5,1.5,2.5,2.55,1.49,1.56,2.31,2.15,1.66,1.35,1.3,1.42,1.7,0.9,1.34,1.47,2.81,2.05,7.5,2.05,1.31,1.58,2.03,2.65,3.64
Spain Segunda División,2022-12-18 10:00:00,21,Albacete Balompié,UD Ibiza,1.86,3.2,4.35,1.05,7.0,1.44,2.7,2.3,1.55,1.51,2.4,2.15,1.65,1.15,1.25,2.0,1.4,0.44,1.52,1.24,2.76,1.82,8.0,2.39,1.29,1.55,1.98,2.65,3.75
Italy Serie B,2022-12-18 10:00:00,18,Cittadella,Südtirol,2.08,3.18,3.82,1.09,6.0,1.47,2.6,2.4,1.53,1.53,2.38,2.1,1.67,1.2,1.3,1.75,1.25,1.38,1.88,1.41,3.29,1.34,9.0,4.46,1.33,1.63,2.12,2.81,3.92
Italy Serie B,2022-12-18 10:00:00,18,Cosenza,Ascoli,3.04,3.18,2.42,0.0,0.0,0.0,0.0,2.06,1.8,1.53,2.38,2.0,1.75,0.0,0.0,0.0,1.38,1.5,1.19,1.34,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Italy Serie B,2022-12-18 10:00:00,18,Modena,Benevento,2.53,3.32,2.74,1.05,8.0,1.3,3.2,2.06,1.77,1.44,2.63,1.75,2.0,1.4,1.33,1.51,1.38,1.5,1.61,1.41,3.02,1.89,7.9,2.36,1.18,1.38,1.69,2.11,2.75
