League,Date,Rodada,Home,Away,FT_Odds_H,FT_Odds_D,FT_Odds_A,FT_Odds_Over05,FT_Odds_Under05,FT_Odds_Over15,FT_Odds_Under15,FT_Odds_Over25,FT_Odds_Under25,HT_Odds_Over05,HT_Odds_Under05,Odds_BTTS_Yes,Odds_BTTS_No,Odds_DuplaChance_1X,Odds_DuplaChance_12,Odds_DuplaChance_X2,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,Odds_Corners_H,Odds_Corners_D,Odds_Corners_A,Odds_Corners_Over75,Odds_Corners_Over85,Odds_Corners_Over95,Odds_Corners_Over105,Odds_Corners_Over115
Turkey Süper Lig,2023-01-09 11:00:00,18,İstanbul Başakşehir,Adana Demirspor,2.15,3.4,3.25,1.05,9.0,1.25,3.75,1.73,2.06,1.36,3.0,1.7,2.05,1.36,1.33,1.75,2.11,1.44,1.61,1.76,3.37,1.73,8.0,2.5,1.44,1.73,2.2,2.52,4.3
Greece Super League,2023-01-09 12:00:00,17,Panaitolikos,OFI,2.3,3.0,3.25,1.08,7.0,1.4,2.75,2.37,1.53,1.5,2.5,1.95,1.8,1.36,1.33,1.57,0.88,0.86,1.05,1.0,2.05,1.91,7.5,2.25,1.62,1.83,2.47,3.64,0.0
Turkey Süper Lig,2023-01-09 14:00:00,18,Alanyaspor,Trabzonspor,3.3,3.4,2.1,1.04,10.0,1.25,3.75,1.58,2.32,1.33,3.25,1.62,2.2,1.67,1.32,1.3,1.88,1.38,1.69,1.87,3.56,2.0,8.0,2.0,1.28,1.5,1.8,2.25,3.0
Turkey Süper Lig,2023-01-09 14:00:00,18,İstanbulspor,Gazişehir Gaziantep,2.63,3.5,2.5,1.04,10.0,1.22,4.0,1.75,2.03,1.33,3.25,1.62,2.2,1.55,1.28,1.44,0.57,0.89,1.2,1.38,2.58,2.38,8.0,1.8,1.28,1.5,1.83,2.25,3.0
Italy Serie A,2023-01-09 14:30:00,17,Hellas Verona,Cremonese,2.15,3.3,3.25,1.05,9.0,1.3,3.4,1.92,1.88,1.36,3.0,1.7,2.05,1.3,1.28,1.78,0.38,0.5,1.49,1.71,3.2,1.95,8.0,2.1,1.28,1.53,1.95,2.53,3.48
Netherlands Eerste Divisie,2023-01-09 16:00:00,18,Utrecht II,AZ II,2.85,3.6,2.3,1.02,15.0,1.22,4.2,1.7,2.15,1.29,3.3,1.6,2.25,1.62,1.22,1.44,1.0,1.0,1.61,1.38,2.99,2.11,7.8,2.06,1.19,1.39,1.74,2.15,2.84
Italy Serie A,2023-01-09 16:45:00,17,Bologna,Atalanta,3.8,3.5,1.91,1.05,9.0,1.29,3.5,1.75,2.1,1.36,3.0,1.7,2.05,1.68,1.32,1.32,1.88,2.13,1.4,1.62,3.02,2.3,8.0,1.8,1.31,1.59,2.04,2.69,3.64
Spain Segunda División,2023-01-09 17:00:00,22,SD Huesca,Albacete Balompié,2.25,3.0,3.1,1.09,7.0,1.44,2.7,2.4,1.53,1.53,2.38,2.0,1.73,1.34,1.34,1.58,2.1,1.5,1.11,1.4,2.51,1.82,8.0,2.39,1.27,1.6,1.95,2.43,3.5
Spain La Liga,2023-01-09 17:00:00,16,Athletic Club Bilbao,CA Osasuna,1.65,3.5,5.0,1.07,9.5,1.38,3.1,2.3,1.63,1.44,2.63,2.05,1.7,1.16,1.27,2.1,2.0,1.14,2.13,1.37,3.5,1.36,10.5,4.1,1.33,1.58,1.97,2.55,3.5
Portugal LigaPro,2023-01-09 17:15:00,15,CD Tondela,FC Penafiel,2.3,3.1,2.8,1.08,7.0,1.4,2.75,2.1,1.68,1.44,2.63,1.91,1.8,1.35,1.35,1.47,1.14,1.71,1.86,1.14,3.0,0.0,0.0,0.0,1.2,1.38,1.67,2.12,2.85
