Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
11,1191399,Australia Brisbane Premier League,2021,2021-03-20 05:00:00,3,Univ. Queensland,Centenary Stormers,2,3,5,"['40', '61']","['46', '65', '75']",2.7,3.8,2.15,1.37,2.86,1.37,2.87
12,1191402,Australia Brisbane Premier League,2021,2021-03-20 05:10:00,3,Albany Creek,Bayside United,5,1,6,"['13', '20', '32', '54', '68']",['16'],1.45,5.0,4.5,1.28,3.34,1.45,2.6
13,1191404,Australia Brisbane Premier League,2021,2021-03-20 06:00:00,3,The Lakes,St George Willawong,3,2,5,"['30', '67', '9004']","['49', '66']",7.5,5.5,1.29,1.21,3.93,0.0,0.0
14,1191406,Australia Brisbane Premier League,2021,2021-03-26 07:30:00,4,Univ. Queensland,Mt Gravatt,0,1,1,[],['84'],2.25,3.9,2.5,1.32,2.95,1.31,3.0
15,1191407,Australia Brisbane Premier League,2021,2021-03-26 07:30:00,4,The Gap,Brisbane Knights,0,2,2,[],"['26', '86']",3.0,4.15,1.87,1.26,3.35,1.29,3.15
16,1191409,Australia Brisbane Premier League,2021,2021-03-27 06:00:00,4,Toowong,The Lakes,1,5,6,['26'],"['15', '40', '54', '58', '79']",1.32,5.5,5.75,1.26,3.4,1.43,2.55
17,1191408,Australia Brisbane Premier League,2021,2021-03-27 06:00:00,4,Bayside United,Acacia Ridge,4,2,6,"['19', '46', '61', '75']","['12', '26']",1.57,4.35,4.1,1.36,2.8,1.43,2.5
18,1191410,Australia Brisbane Premier League,2021,2021-03-28 05:00:00,4,St George Willawong,Albany Creek,3,3,6,"['37', '60', '81']","['3', '14', '49']",3.5,4.05,1.74,1.33,3.4,1.35,2.9
19,1191482,Australia Brisbane Premier League,2021,2021-04-10 05:00:00,5,St George Willawong,Acacia Ridge,0,3,3,[],"['19', '49', '9003']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1191414,Australia Brisbane Premier League,2021,2021-04-10 06:10:00,5,Albany Creek,Toowong,4,0,4,"['30', '39', '50', '77']",[],1.33,5.0,6.0,1.29,3.6,1.45,2.6
21,1191413,Australia Brisbane Premier League,2021,2021-04-10 06:10:00,5,The Lakes,Univ. Queensland,7,1,8,"['8', '18', '34', '38', '55', '66', '80']",['49'],1.36,5.0,5.5,1.33,3.4,1.42,2.65
22,1191411,Australia Brisbane Premier League,2021,2021-04-13 07:30:00,5,Centenary Stormers,The Gap,2,1,3,"['35', '56']",['24'],1.33,5.5,5.5,1.3,3.45,1.39,2.75
23,1191401,Australia Brisbane Premier League,2021,2021-04-17 05:00:00,3,The Gap,Western Spirit,0,5,5,[],"['13', '62', '69', '89', '9003']",3.74,4.29,1.77,1.36,2.89,1.4,2.7
24,1191396,Australia Brisbane Premier League,2021,2021-04-17 05:00:00,2,Acacia Ridge,Albany Creek,0,9,9,[],"['-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1', '-1']",10.0,7.5,1.13,1.23,3.72,1.62,2.2
