Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
30,1299259,Poland 1. Liga,2021/2022,2021-08-17 15:30:00,4,Podbeskidzie,Tychy 71,0,0,0,[],[],1.98,3.3,3.4,2.05,1.7,1.87,1.8
31,1299264,Poland 1. Liga,2021/2022,2021-08-18 13:00:00,4,ŁKS Łódź,Jastrzębie,2,2,4,"['13', '52']","['66', '82']",1.39,4.05,6.75,1.87,1.8,2.1,1.62
32,1299256,Poland 1. Liga,2021/2022,2021-08-18 13:00:00,4,Stomil Olsztyn,Korona Kielce,0,1,1,[],['45'],2.95,3.0,2.2,2.05,1.65,1.87,1.77
33,1299263,Poland 1. Liga,2021/2022,2021-08-18 15:30:00,4,Arka Gdynia,Widzew Łódź,3,1,4,"['45+2', '69', '80']",['10'],2.0,3.05,3.3,2.0,1.67,1.87,1.77
34,1299261,Poland 1. Liga,2021/2022,2021-08-19 13:00:00,4,Odra Opole,Zagłębie Sosnowiec,1,0,1,['37'],[],2.9,2.95,2.25,2.1,1.62,1.87,1.77
35,1299262,Poland 1. Liga,2021/2022,2021-08-19 13:00:00,4,Polkowice,Chrobry Głogów,0,0,0,[],[],2.15,3.25,2.8,1.91,1.74,1.83,1.83
36,1299260,Poland 1. Liga,2021/2022,2021-08-19 15:30:00,4,GKS Katowice,Sandecja Nowy Sącz,0,0,0,[],[],2.1,3.0,3.15,1.95,1.71,1.77,1.87
37,1299270,Poland 1. Liga,2021/2022,2021-08-20 13:00:00,5,Puszcza Niepołomice,Miedź Legnica,0,1,1,[],['60'],4.35,3.45,1.67,2.0,1.65,2.05,1.65
38,1299272,Poland 1. Liga,2021/2022,2021-08-21 07:40:00,5,Jastrzębie,Resovia Rzeszów,1,1,2,['33'],['38'],2.46,3.25,2.75,1.8,1.98,1.67,2.0
39,1299271,Poland 1. Liga,2021/2022,2021-08-21 13:00:00,5,Korona Kielce,ŁKS Łódź,1,0,1,['73'],[],2.65,2.9,2.45,2.0,1.67,1.8,1.87
40,1299273,Poland 1. Liga,2021/2022,2021-08-21 15:30:00,5,Widzew Łódź,Stomil Olsztyn,2,0,2,"['26', '66']",[],1.42,4.1,6.0,1.87,1.77,2.1,1.62
41,1299267,Poland 1. Liga,2021/2022,2021-08-22 07:40:00,5,GKS Katowice,Zagłębie Sosnowiec,3,2,5,"['53', '62', '81']","['31', '45+3']",2.3,3.1,2.7,1.91,1.74,1.74,1.91
42,1299265,Poland 1. Liga,2021/2022,2021-08-22 10:00:00,5,Polkowice,Arka Gdynia,2,1,3,"['40', '57']",['84'],3.75,3.4,1.77,1.87,1.8,1.87,1.8
43,1299268,Poland 1. Liga,2021/2022,2021-08-22 13:00:00,5,Tychy 71,Sandecja Nowy Sącz,2,1,3,"['33', '72']",['30'],2.0,3.35,3.1,1.91,1.74,1.83,1.8
44,1299266,Poland 1. Liga,2021/2022,2021-08-23 13:00:00,5,Odra Opole,Chrobry Głogów,1,0,1,['89'],[],2.25,2.95,2.9,2.25,1.51,2.05,1.65
45,1299269,Poland 1. Liga,2021/2022,2021-08-23 15:30:00,5,Podbeskidzie,SKRA Częstochowa,1,0,1,['14'],[],1.4,4.33,7.0,1.61,2.2,1.91,1.74
46,1299275,Poland 1. Liga,2021/2022,2021-08-27 13:00:00,6,Resovia Rzeszów,Korona Kielce,0,1,1,[],['79'],2.5,2.95,2.6,2.15,1.59,1.91,1.74
47,1299274,Poland 1. Liga,2021/2022,2021-08-27 15:30:00,6,Stomil Olsztyn,ŁKS Łódź,0,3,3,[],"['10', '42', '90']",0.0,0.0,0.0,2.06,1.82,2.1,1.77
48,1299281,Poland 1. Liga,2021/2022,2021-08-28 07:40:00,6,Arka Gdynia,Odra Opole,3,0,3,"['33', '34', '51']",[],1.59,3.39,4.21,1.88,1.83,2.0,1.67
49,1299282,Poland 1. Liga,2021/2022,2021-08-28 13:00:00,6,Widzew Łódź,Polkowice,4,2,6,"['18', '46', '57', '81']","['16', '60']",1.57,3.6,4.9,1.87,1.77,1.95,1.71
50,1299276,Poland 1. Liga,2021/2022,2021-08-28 15:30:00,6,Miedź Legnica,Jastrzębie,1,1,2,['53'],['58'],1.45,3.9,6.0,1.91,1.74,2.05,1.65
51,1299280,Poland 1. Liga,2021/2022,2021-08-29 07:40:00,6,Chrobry Głogów,GKS Katowice,4,0,4,"['5', '34', '81', '90+1']",[],2.5,3.0,2.5,1.91,1.74,1.74,1.91
52,1299277,Poland 1. Liga,2021/2022,2021-08-29 10:00:00,6,Podbeskidzie,Puszcza Niepołomice,4,0,4,"['15', '65', '90', '90+3']",[],1.53,3.75,5.0,1.87,1.77,1.95,1.71
53,1299279,Poland 1. Liga,2021/2022,2021-08-29 14:45:00,6,Zagłębie Sosnowiec,Tychy 71,1,2,3,['7'],"['13', '38']",2.2,3.1,2.85,1.91,1.74,1.74,1.91
54,1299290,Poland 1. Liga,2021/2022,2021-09-03 15:30:00,7,Korona Kielce,Miedź Legnica,0,0,0,[],[],2.75,3.0,2.35,2.1,1.61,1.91,1.74
55,1299287,Poland 1. Liga,2021/2022,2021-09-04 07:40:00,7,Zagłębie Sosnowiec,SKRA Częstochowa,0,0,0,[],[],1.9,3.08,3.24,2.15,1.67,1.87,1.77
56,1299291,Poland 1. Liga,2021/2022,2021-09-05 07:40:00,7,ŁKS Łódź,Resovia Rzeszów,0,3,3,[],"['21', '41', '58']",1.71,3.62,5.0,2.16,1.68,2.05,1.65
57,1299289,Poland 1. Liga,2021/2022,2021-09-05 10:00:00,7,Jastrzębie,Podbeskidzie,0,1,1,[],['83'],3.15,3.25,2.0,1.91,1.74,1.8,1.83
58,1299284,Poland 1. Liga,2021/2022,2021-09-05 13:00:00,7,Odra Opole,Widzew Łódź,0,0,0,[],[],2.9,3.0,2.25,2.05,1.65,1.87,1.77
59,1299297,Poland 1. Liga,2021/2022,2021-09-10 10:00:00,8,Chrobry Głogów,SKRA Częstochowa,0,1,1,[],['80'],1.74,3.25,4.1,2.1,1.61,2.05,1.65
60,1299300,Poland 1. Liga,2021/2022,2021-09-10 15:30:00,8,Widzew Łódź,GKS Katowice,3,1,4,"['45', '57', '67']",['90'],1.62,3.65,4.3,1.8,1.83,1.83,1.8
61,1299294,Poland 1. Liga,2021/2022,2021-09-11 07:40:00,8,Podbeskidzie,Korona Kielce,2,3,5,"['44', '59']","['18', '53', '90+2']",2.2,3.26,3.4,2.15,1.67,1.87,1.8
62,1299295,Poland 1. Liga,2021/2022,2021-09-11 13:00:00,8,Jastrzębie,Sandecja Nowy Sącz,0,3,3,[],"['19', '77', '84']",2.5,2.95,2.7,2.11,1.65,1.91,1.74
63,1299293,Poland 1. Liga,2021/2022,2021-09-11 15:30:00,8,Miedź Legnica,ŁKS Łódź,0,2,2,[],"['53', '56']",2.29,3.4,2.57,1.88,1.92,1.8,1.83
64,1299298,Poland 1. Liga,2021/2022,2021-09-12 07:40:00,8,Arka Gdynia,Tychy 71,0,1,1,[],['4'],1.72,3.5,4.3,1.98,1.78,1.87,1.77
65,1299296,Poland 1. Liga,2021/2022,2021-09-12 10:00:00,8,Zagłębie Sosnowiec,Puszcza Niepołomice,1,2,3,['38'],"['15', '76']",1.91,3.35,3.3,1.83,1.8,1.74,1.91
66,1299299,Poland 1. Liga,2021/2022,2021-09-12 13:00:00,8,Polkowice,Odra Opole,1,1,2,['87'],['21'],2.3,3.05,2.75,1.91,1.74,1.77,1.91
67,1299292,Poland 1. Liga,2021/2022,2021-09-13 13:00:00,8,Stomil Olsztyn,Resovia Rzeszów,4,2,6,"['50', '59', '80', '90+3']","['9', '83']",3.02,2.97,2.09,2.15,1.67,1.88,1.86
68,1299288,Poland 1. Liga,2021/2022,2021-09-15 13:00:00,7,Puszcza Niepołomice,Sandecja Nowy Sącz,1,2,3,['5'],"['11', '61']",2.7,2.95,2.4,2.0,1.67,1.8,1.87
69,1299285,Poland 1. Liga,2021/2022,2021-09-16 13:00:00,7,GKS Katowice,Arka Gdynia,2,4,6,"['27', '53']","['33', '63', '85', '90+1']",3.05,3.15,2.05,1.91,1.74,1.77,1.87
70,1299283,Poland 1. Liga,2021/2022,2021-09-16 15:30:00,7,Polkowice,Stomil Olsztyn,2,2,4,"['50', '74']","['59', '68']",1.67,3.4,4.35,2.0,1.67,2.0,1.69
71,1299286,Poland 1. Liga,2021/2022,2021-09-16 15:30:00,7,Tychy 71,Chrobry Głogów,1,0,1,['89'],[],1.95,3.15,3.35,1.91,1.74,1.8,1.83
72,1299306,Poland 1. Liga,2021/2022,2021-09-17 13:00:00,9,Jastrzębie,Zagłębie Sosnowiec,1,1,2,['48'],['41'],2.75,3.05,2.3,1.95,1.69,1.8,1.83
73,1299308,Poland 1. Liga,2021/2022,2021-09-18 07:40:00,9,ŁKS Łódź,Podbeskidzie,1,2,3,['22'],"['44', '68']",2.05,3.3,3.1,1.98,1.8,1.83,1.8
74,1299307,Poland 1. Liga,2021/2022,2021-09-18 15:30:00,9,Korona Kielce,Sandecja Nowy Sącz,0,1,1,[],['12'],1.77,3.4,4.33,2.2,1.61,2.0,1.69
75,1299303,Poland 1. Liga,2021/2022,2021-09-19 07:40:00,9,Tychy 71,Widzew Łódź,1,1,2,['90'],['69'],2.85,3.1,2.2,1.95,1.71,1.77,1.87
76,1299301,Poland 1. Liga,2021/2022,2021-09-19 10:00:00,9,Odra Opole,Stomil Olsztyn,2,0,2,"['34', '50']",[],1.69,3.4,4.25,1.91,1.74,1.91,1.77
77,1299305,Poland 1. Liga,2021/2022,2021-09-19 13:00:00,9,Puszcza Niepołomice,Chrobry Głogów,2,2,4,"['20', '76']","['14', '89']",2.5,2.95,2.6,2.05,1.65,1.83,1.8
78,1299304,Poland 1. Liga,2021/2022,2021-09-20 13:00:00,9,SKRA Częstochowa,Arka Gdynia,2,1,3,"['20', '77']",['83'],4.15,3.45,1.69,1.95,1.71,1.95,1.71
79,1300048,Poland 1. Liga,2021/2022,2021-09-20 15:30:00,9,Polkowice,GKS Katowice,1,1,2,['58'],['55'],2.65,3.15,2.3,1.8,1.83,1.69,2.0
80,1299318,Poland 1. Liga,2021/2022,2021-09-24 13:00:00,10,Widzew Łódź,SKRA Częstochowa,4,0,4,"['42', '63', '66', '77']",[],1.4,4.1,6.5,2.05,1.62,2.35,1.49
81,1299316,Poland 1. Liga,2021/2022,2021-09-24 15:30:00,10,Polkowice,Tychy 71,0,1,1,[],['43'],2.75,3.25,2.2,1.91,1.74,1.8,1.83
82,1299317,Poland 1. Liga,2021/2022,2021-09-25 07:40:00,10,Odra Opole,GKS Katowice,4,2,6,"['21', '38', '42', '52']","['31', '69']",2.0,3.46,3.7,2.04,1.76,1.83,1.8
83,1299315,Poland 1. Liga,2021/2022,2021-09-25 13:00:00,10,Arka Gdynia,Puszcza Niepołomice,2,0,2,"['39', '68']",[],1.57,3.75,4.6,1.74,1.91,1.8,1.83
84,1299314,Poland 1. Liga,2021/2022,2021-09-25 15:30:00,10,Chrobry Głogów,Jastrzębie,2,0,2,"['13', '81']",[],2.05,3.1,3.45,2.13,1.7,1.91,1.74
