Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
31,1585872,Estonia Meistriliiga,2022,2022-04-12 14:00:00,7,Vaprus,Tammeka,1,2,3,['76'],"['32', '78']",4.65,4.45,1.56,1.53,2.34,1.52,2.35
32,1585873,Estonia Meistriliiga,2022,2022-04-13 11:30:00,7,Paide,Legion,5,0,5,"['2', '12', '71', '72', '90+2']",[],1.09,8.75,19.5,1.38,2.81,2.15,1.6
33,1585874,Estonia Meistriliiga,2022,2022-04-13 12:00:00,7,Trans,Tallinna Kalev,5,0,5,"['4', '16', '54', '77', '88']",[],1.37,4.6,6.25,1.6,2.23,1.74,1.95
34,1585875,Estonia Meistriliiga,2022,2022-04-13 13:30:00,7,Tallinna FC Levadia,Nõmme Kalju,1,1,2,['52'],['41'],1.55,4.0,4.75,1.61,2.18,1.65,2.1
35,1585876,Estonia Meistriliiga,2022,2022-04-16 08:30:00,8,Vaprus,Tallinna FC Flora,0,2,2,[],"['34', '65']",24.0,13.0,1.04,1.17,4.42,2.39,1.55
36,1585877,Estonia Meistriliiga,2022,2022-04-16 11:00:00,8,Legion,Tallinna Kalev,1,1,2,['27'],['19'],1.78,3.94,3.76,1.45,2.56,1.32,3.1
37,1585878,Estonia Meistriliiga,2022,2022-04-16 13:30:00,8,Trans,Paide,1,2,3,['90+5'],"['29', '88']",4.1,3.95,1.6,1.57,2.25,1.48,2.5
38,1585879,Estonia Meistriliiga,2022,2022-04-17 08:30:00,8,Tammeka,Nõmme Kalju,1,1,2,['90'],['29'],7.5,5.5,1.25,1.4,2.73,1.6,2.2
39,1585880,Estonia Meistriliiga,2022,2022-04-17 11:15:00,8,Tallinna FC Levadia,Kuressaare,1,0,1,['75'],[],1.02,9.5,25.0,1.26,3.48,2.6,1.45
40,1585857,Estonia Meistriliiga,2022,2022-04-20 13:00:00,4,Trans,Tallinna FC Levadia,0,1,1,[],['53'],6.8,4.9,1.38,1.5,2.41,1.88,1.82
41,1585881,Estonia Meistriliiga,2022,2022-04-22 13:00:00,9,Tallinna Kalev,Tammeka,1,0,1,['77'],[],6.25,4.8,1.32,1.52,2.38,1.82,1.88
42,1585882,Estonia Meistriliiga,2022,2022-04-23 08:30:00,9,Legion,Vaprus,3,0,3,"['41', '84', '89']",[],1.85,3.85,3.35,1.4,2.73,1.42,2.7
43,1585883,Estonia Meistriliiga,2022,2022-04-23 11:00:00,9,Kuressaare,Paide,2,1,3,"['11', '17']",['13'],6.5,4.4,1.36,1.44,2.59,1.68,2.05
44,1585884,Estonia Meistriliiga,2022,2022-04-23 13:30:00,9,Nõmme Kalju,Trans,3,0,3,"['2', '82', '90+3']",[],1.59,3.9,4.25,1.57,2.25,1.55,2.3
45,1585885,Estonia Meistriliiga,2022,2022-04-24 11:15:00,9,Tallinna FC Flora,Tallinna FC Levadia,2,0,2,"['9', '34']",[],2.41,3.45,2.53,1.56,2.28,1.51,2.4
46,1585886,Estonia Meistriliiga,2022,2022-04-26 12:00:00,10,Trans,Kuressaare,0,1,1,[],['19'],2.08,3.2,3.0,1.78,1.93,1.63,2.16
47,1585887,Estonia Meistriliiga,2022,2022-04-26 14:00:00,10,Nõmme Kalju,Legion,3,0,3,"['26', '79', '89']",[],1.07,8.0,15.0,1.33,3.04,2.35,1.52
48,1585888,Estonia Meistriliiga,2022,2022-04-27 11:30:00,10,Tammeka,Tallinna FC Levadia,0,1,1,[],['66'],9.5,5.0,1.25,1.31,3.15,1.65,2.1
49,1585889,Estonia Meistriliiga,2022,2022-04-27 12:00:00,10,Tallinna Kalev,Tallinna FC Flora,2,4,6,"['25', '34']","['4', '14', '18', '77']",24.0,12.0,1.05,1.2,4.04,1.72,2.0
50,1585890,Estonia Meistriliiga,2022,2022-04-27 13:30:00,10,Paide,Vaprus,6,2,8,"['7', '10', '33', '64', '80', '90+3']","['31', '87']",1.08,7.5,19.0,1.29,3.27,2.0,1.77
51,1585891,Estonia Meistriliiga,2022,2022-04-29 13:00:00,11,Kuressaare,Legion,1,0,1,['64'],[],1.85,3.9,3.55,1.6,2.19,1.58,2.26
52,1585894,Estonia Meistriliiga,2022,2022-04-30 11:00:00,11,Vaprus,Nõmme Kalju,0,1,1,[],['67'],10.25,6.22,1.1,1.45,2.7,2.0,1.75
53,1585895,Estonia Meistriliiga,2022,2022-04-30 13:30:00,11,Tallinna FC Levadia,Trans,6,0,6,"['9', '30', '44', '62', '86', '90']",[],1.16,6.5,13.0,1.42,2.65,2.35,1.52
54,1585892,Estonia Meistriliiga,2022,2022-05-01 08:30:00,11,Paide,Tallinna Kalev,7,0,7,"['9', '27', '38', '66', '70', '74', '84']",[],1.07,6.42,12.24,1.24,3.64,2.1,1.65
55,1585893,Estonia Meistriliiga,2022,2022-05-01 11:15:00,11,Tallinna FC Flora,Tammeka,3,2,5,"['11', '17', '65']","['41', '49']",1.11,8.2,17.0,1.25,3.56,1.85,1.85
56,1585896,Estonia Meistriliiga,2022,2022-05-06 13:00:00,12,Vaprus,Kuressaare,3,1,4,"['19', '43', '80']",['45+1'],4.17,3.98,1.54,1.56,2.29,1.6,2.25
57,1585897,Estonia Meistriliiga,2022,2022-05-07 11:00:00,12,Tallinna Kalev,Tallinna FC Levadia,0,1,1,[],['84'],14.0,9.0,1.06,1.16,4.6,1.8,1.9
58,1585898,Estonia Meistriliiga,2022,2022-05-07 13:30:00,12,Legion,Trans,1,0,1,['85'],[],3.69,3.64,1.66,1.68,2.06,1.65,2.1
59,1585899,Estonia Meistriliiga,2022,2022-05-08 08:30:00,12,Nõmme Kalju,Tammeka,3,1,4,"['52', '53', '90+3']",['16'],1.59,4.01,4.73,1.63,2.15,1.73,2.0
60,1585900,Estonia Meistriliiga,2022,2022-05-08 11:15:00,12,Tallinna FC Flora,Paide,0,0,0,[],[],1.63,3.6,4.3,1.7,2.04,1.57,2.25
61,1585901,Estonia Meistriliiga,2022,2022-05-13 13:00:00,13,Tammeka,Vaprus,3,1,4,"['41', '57', '66']",['77'],1.57,3.8,4.6,1.53,2.3,1.57,2.25
62,1585903,Estonia Meistriliiga,2022,2022-05-14 13:30:00,13,Kuressaare,Tallinna Kalev,1,0,1,['3'],[],1.48,4.2,5.4,1.64,2.12,1.75,1.95
63,1585905,Estonia Meistriliiga,2022,2022-05-15 11:15:00,13,Tallinna FC Levadia,Paide,1,0,1,['28'],[],1.88,3.74,3.62,1.75,2.05,1.75,1.98
64,1585906,Estonia Meistriliiga,2022,2022-05-17 12:00:00,14,Tammeka,Tallinna Kalev,1,3,4,['90+1'],"['59', '65', '89']",1.45,4.02,4.7,1.67,2.1,1.76,2.01
65,1585907,Estonia Meistriliiga,2022,2022-05-17 14:00:00,14,Tallinna FC Flora,Kuressaare,4,0,4,"['10', '11', '18', '30']",[],1.11,6.31,11.41,1.26,3.48,1.76,1.95
66,1585908,Estonia Meistriliiga,2022,2022-05-18 11:30:00,14,Paide,Trans,4,2,6,"['11', '13', '55', '77']","['8', '80']",1.3,5.55,7.9,1.35,2.94,1.62,2.23
67,1585909,Estonia Meistriliiga,2022,2022-05-18 12:00:00,14,Vaprus,Legion,1,1,2,['68'],['28'],3.11,3.72,2.06,1.6,2.19,1.53,2.43
68,1585910,Estonia Meistriliiga,2022,2022-05-18 13:30:00,14,Nõmme Kalju,Tallinna FC Levadia,0,1,1,[],['50'],4.1,3.65,1.78,1.87,1.95,1.75,2.0
69,1585911,Estonia Meistriliiga,2022,2022-05-24 12:00:00,15,Kuressaare,Nõmme Kalju,1,1,2,['74'],['46'],4.58,3.95,1.57,1.64,2.12,1.83,1.87
70,1585912,Estonia Meistriliiga,2022,2022-05-24 12:00:00,15,Legion,Tallinna FC Levadia,1,3,4,['62'],"['27', '45', '84']",7.49,5.46,1.27,1.32,3.09,3.0,1.35
71,1585913,Estonia Meistriliiga,2022,2022-05-24 14:00:00,15,Paide,Tammeka,3,0,3,"['16', '81', '87']",[],1.31,4.92,7.18,1.5,2.41,1.95,1.75
72,1585914,Estonia Meistriliiga,2022,2022-05-25 11:30:00,15,Tallinna Kalev,Vaprus,1,0,1,['82'],[],2.05,3.4,3.0,1.57,2.28,1.5,2.4
73,1585915,Estonia Meistriliiga,2022,2022-05-25 13:30:00,15,Trans,Tallinna FC Flora,0,3,3,[],"['12', '52', '85']",13.0,5.8,1.18,1.55,2.29,1.9,1.79
74,1585917,Estonia Meistriliiga,2022,2022-05-28 13:30:00,16,Tallinna Kalev,Legion,2,2,4,"['67', '77']","['53', '85']",2.6,3.2,2.6,1.76,1.96,1.62,2.15
75,1585918,Estonia Meistriliiga,2022,2022-05-29 08:30:00,16,Nõmme Kalju,Paide,1,0,1,['9'],[],3.0,3.3,2.05,1.67,2.1,1.6,2.2
76,1585919,Estonia Meistriliiga,2022,2022-05-29 11:15:00,16,Tallinna FC Levadia,Tallinna FC Flora,1,1,2,['57'],['18'],2.72,3.42,2.33,1.78,1.93,1.62,2.15
77,1585916,Estonia Meistriliiga,2022,2022-05-29 13:30:00,16,Kuressaare,Tammeka,3,0,3,"['51', '65', '85']",[],2.15,3.45,2.9,1.67,2.07,1.58,2.25
78,1585921,Estonia Meistriliiga,2022,2022-06-16 13:00:00,17,Tallinna FC Levadia,Vaprus,4,1,5,"['2', '45', '68', '90+2']",['6'],1.06,9.35,19.7,1.08,5.65,1.65,2.1
79,1585922,Estonia Meistriliiga,2022,2022-06-18 11:00:00,17,Trans,Tallinna Kalev,1,1,2,['42'],['65'],1.53,3.9,4.8,1.46,2.4,1.65,2.1
80,1585923,Estonia Meistriliiga,2022,2022-06-18 13:30:00,17,Paide,Kuressaare,1,1,2,['75'],['27'],1.3,4.6,8.0,1.46,2.42,1.8,1.9
81,1585924,Estonia Meistriliiga,2022,2022-06-19 08:30:00,17,Tammeka,Legion,1,4,5,['57'],"['30', '45+1', '47', '80']",1.76,3.36,3.08,1.61,2.17,1.58,2.25
82,1585925,Estonia Meistriliiga,2022,2022-06-19 11:15:00,17,Tallinna FC Flora,Nõmme Kalju,2,0,2,"['7', '60']",[],1.48,3.98,4.65,1.62,2.18,1.75,1.95
83,1585926,Estonia Meistriliiga,2022,2022-06-28 12:00:00,18,Kuressaare,Tallinna FC Levadia,1,1,2,['20'],['15'],11.5,6.0,1.2,1.37,2.69,1.85,1.85
84,1585927,Estonia Meistriliiga,2022,2022-06-28 14:00:00,18,Tallinna Kalev,Nõmme Kalju,0,3,3,[],"['1', '15', '75']",10.5,5.75,1.22,1.38,2.66,1.85,1.85
85,1585928,Estonia Meistriliiga,2022,2022-06-29 11:30:00,18,Tammeka,Trans,1,0,1,['59'],[],2.22,3.49,2.85,1.67,2.1,1.57,2.28
86,1585929,Estonia Meistriliiga,2022,2022-06-29 12:00:00,18,Tallinna FC Flora,Vaprus,6,1,7,"['14', '15', '55', '66', '73', '82']",['39'],1.03,13.84,20.0,1.25,3.56,2.11,1.69
87,1585930,Estonia Meistriliiga,2022,2022-06-29 13:30:00,18,Legion,Paide,1,2,3,['45+5'],"['66', '74']",9.91,5.85,1.23,1.25,3.56,1.57,2.25
