Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2289215,Denmark Superliga,2022/2023,2022-07-15 14:00:00,1,Midtjylland,Randers,1,1,2,['54'],['60'],1.61,3.7,4.8,1.7,2.05,1.8,1.95
2,2289216,Denmark Superliga,2022/2023,2022-07-17 09:00:00,1,Viborg,AaB,2,1,3,"['43', '85']",['77'],2.35,3.4,2.95,1.77,2.06,1.62,2.2
3,2289217,Denmark Superliga,2022/2023,2022-07-17 09:00:00,1,Lyngby,Silkeborg,2,2,4,"['43', '51']","['55', '78']",3.8,3.55,1.95,1.75,2.08,1.67,2.1
4,2289218,Denmark Superliga,2022/2023,2022-07-17 11:00:00,1,København,Horsens,0,1,1,[],['61'],1.28,4.8,11.0,1.7,2.05,2.2,1.62
5,2289219,Denmark Superliga,2022/2023,2022-07-17 13:00:00,1,Brøndby,AGF,1,0,1,['79'],[],2.0,3.5,3.8,1.95,1.85,1.75,2.0
6,2289220,Denmark Superliga,2022/2023,2022-07-18 14:00:00,1,OB,Nordsjælland,0,2,2,[],"['3', '86']",2.0,3.2,3.15,1.78,1.87,1.67,2.1
7,2289221,Denmark Superliga,2022/2023,2022-07-22 14:00:00,2,Midtjylland,Silkeborg,1,3,4,['51'],"['31', '57', '61']",1.82,3.6,3.95,1.68,2.12,1.57,2.34
8,2289222,Denmark Superliga,2022/2023,2022-07-24 09:00:00,2,AGF,Viborg,3,1,4,"['9', '60', '76']",['74'],2.6,3.4,2.7,1.91,1.88,1.75,2.0
9,2289223,Denmark Superliga,2022/2023,2022-07-24 09:00:00,2,Randers,OB,2,2,4,"['75', '77']","['29', '45']",2.11,3.7,3.2,1.87,1.85,1.67,2.1
10,2289224,Denmark Superliga,2022/2023,2022-07-24 11:00:00,2,Brøndby,Nordsjælland,1,3,4,['56'],"['3', '71', '74']",2.2,3.55,3.15,1.75,2.01,1.67,2.1
11,2289225,Denmark Superliga,2022/2023,2022-07-24 13:00:00,2,AaB,København,1,3,4,['79'],"['45+6', '71', '90+4']",3.4,3.3,2.0,1.86,2.0,1.7,2.05
12,2289226,Denmark Superliga,2022/2023,2022-07-25 14:00:00,2,Horsens,Lyngby,1,0,1,['21'],[],2.15,3.2,3.1,1.85,1.87,1.75,2.0
13,2365193,Denmark Superliga,2022/2023,2022-07-29 14:00:00,3,OB,Midtjylland,1,5,6,['32'],"['24', '52', '58', '61', '73']",3.5,3.5,2.0,1.7,1.99,1.62,2.2
14,2365190,Denmark Superliga,2022/2023,2022-07-31 09:00:00,3,AGF,Randers,0,0,0,[],[],2.5,3.3,2.88,1.88,1.93,1.7,2.05
15,2365191,Denmark Superliga,2022/2023,2022-07-31 09:00:00,3,AaB,Horsens,0,0,0,[],[],1.61,4.1,5.3,1.79,2.02,1.75,2.0
16,2365194,Denmark Superliga,2022/2023,2022-07-31 11:00:00,3,Viborg,København,4,2,6,"['27', '33', '55', '90+3']","['7', '62']",3.9,3.65,1.91,1.75,2.08,1.7,2.05
17,2365192,Denmark Superliga,2022/2023,2022-07-31 13:00:00,3,Silkeborg,Brøndby,2,0,2,"['7', '83']",[],2.15,3.2,2.84,1.78,1.83,1.75,2.0
18,2365195,Denmark Superliga,2022/2023,2022-08-01 14:00:00,3,Nordsjælland,Lyngby,2,1,3,"['36', '80']",['67'],1.71,3.5,3.9,1.8,1.84,1.75,2.0
19,2365201,Denmark Superliga,2022/2023,2022-08-05 13:00:00,4,Randers,Horsens,1,0,1,['22'],[],1.67,3.4,4.75,1.81,1.81,1.91,1.91
20,2365197,Denmark Superliga,2022/2023,2022-08-05 15:00:00,4,Lyngby,Midtjylland,3,3,6,"['44', '61', '87']","['4', '15', '32']",4.5,3.4,1.7,1.75,1.87,1.75,2.0
21,2365196,Denmark Superliga,2022/2023,2022-08-06 11:30:00,4,Nordsjælland,Viborg,1,0,1,['28'],[],2.6,3.52,2.63,1.79,1.92,1.62,2.2
22,2365198,Denmark Superliga,2022/2023,2022-08-07 11:00:00,4,København,Brøndby,4,1,5,"['13', '33', '45', '64']",['19'],1.57,4.0,5.0,1.79,2.02,1.8,1.95
