League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
Ukraine Ukrainian Premier League,2022/2023,2022-09-10 09:00:00,4,Hirnyk,Veres Rivne,0,1,1,[],['28'],2.44,3.1,2.58,1.84,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-10 11:00:00,4,Shakhtar Donetsk,Chornomorets,2,1,3,"['74', '90+6']",['9'],1.2,5.6,11.0,1.43,2.18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-11 07:00:00,4,Dnipro-1,Metalist 1925 Kharkiv,3,0,3,"['62', '66', '88']",[],1.43,4.58,5.86,1.65,1.85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-11 09:00:00,4,Kolos Kovalivka,Metal Kharkiv,1,0,1,['72'],[],2.21,3.35,3.0,1.92,1.64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-11 11:00:00,4,Dynamo Kyiv,Lviv,1,0,1,['32'],[],1.22,5.49,8.98,1.55,2.33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-12 07:00:00,4,Vorskla,Oleksandria,0,0,0,[],[],2.35,3.5,2.58,1.65,1.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-12 09:00:00,4,Inhulets,Minai,1,2,3,['90+1'],"['18', '59']",2.26,3.1,2.99,2.12,1.91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-25 07:00:00,1,Minai,Lviv,0,1,1,[],['90+1'],2.08,2.98,2.98,1.9,1.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-30 07:00:00,5,Veres Rivne,Rukh Vynnyky,2,2,4,"['9', '31']","['26', '53']",2.38,3.25,2.75,1.55,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-09-30 11:00:00,5,Metalist 1925 Kharkiv,Kolos Kovalivka,2,0,2,"['9', '30']",[],2.6,3.1,2.6,2.1,1.71,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-01 07:00:00,5,Inhulets,Vorskla,0,1,1,[],['34'],3.3,3.4,2.0,1.77,1.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-01 09:00:00,5,Lviv,Dnipro-1,0,3,3,[],"['39', '45', '78']",4.75,3.5,1.62,1.63,1.66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-01 11:00:00,5,Metal Kharkiv,Shakhtar Donetsk,1,6,7,['88'],"['18', '29', '36', '38', '72', '90+1']",9.0,4.9,1.3,1.93,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ukraine Ukrainian Premier League,2022/2023,2022-10-02 07:00:00,5,Minai,Dynamo Kyiv,0,1,1,[],['51'],9.0,5.25,1.25,1.57,2.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-02 09:00:00,5,Chornomorets,Oleksandria,1,2,3,['79'],"['71', '83']",3.0,3.4,2.12,1.6,1.52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-02 11:00:00,5,Zorya,Hirnyk,2,2,4,"['17', '28']","['10', '66']",1.5,4.2,5.2,1.6,1.53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-07 09:00:00,6,Veres Rivne,Metal Kharkiv,1,2,3,['79'],"['29', '57']",2.38,3.39,2.82,1.87,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-07 11:00:00,6,Kolos Kovalivka,Inhulets,0,0,0,[],[],1.7,3.45,4.45,1.97,1.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-08 07:00:00,6,Vorskla,Chornomorets,2,1,3,"['49', '88']",['52'],1.83,3.2,3.85,1.75,1.45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-09 07:00:00,6,Dnipro-1,Zorya,3,0,3,"['29', '59', '75']",[],2.5,3.54,2.7,1.6,1.53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-09 09:00:00,6,Hirnyk,Minai,0,0,0,[],[],2.18,3.44,3.07,1.86,1.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-09 11:00:00,6,Dynamo Kyiv,Rukh Vynnyky,3,0,3,"['43', '60', '80']",[],1.27,5.0,9.0,1.8,2.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-14 07:00:00,7,Minai,Veres Rivne,1,1,2,['64'],['5'],3.09,3.3,2.37,2.02,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-15 07:00:00,7,Metalist 1925 Kharkiv,Lviv,2,2,4,"['5', '22']","['8', '65']",2.0,3.13,3.4,2.1,2.03,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-15 07:00:00,7,Metal Kharkiv,Vorskla,3,2,5,"['44', '49', '56']","['54', '80']",3.75,3.45,1.92,1.63,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-16 09:00:00,7,Rukh Vynnyky,Dnipro-1,2,3,5,"['30', '52']","['45+1', '59', '90+5']",5.25,3.75,1.53,1.7,1.81,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-16 11:00:00,7,Shakhtar Donetsk,Dynamo Kyiv,3,1,4,"['29', '48', '74']",['46'],2.0,3.3,3.2,1.78,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ukraine Ukrainian Premier League,2022/2023,2022-10-18 07:00:00,8,Lviv,Veres Rivne,1,3,4,['14'],"['17', '67', '69']",2.86,3.05,2.37,2.3,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
