Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1355901,England Premier League 2 Division Two U23,2021/2022,2021-08-13 15:00:00,1,Aston Villa U23,Nottingham Forest U23,5,2,7,"['40', '47', '50', '52', '89']","['9', '25']",1.91,3.75,3.1,1.44,2.7,1.42,2.7
2,1355902,England Premier League 2 Division Two U23,2021/2022,2021-08-15 10:00:00,1,Southampton U23,Norwich City U23,0,3,3,[],"['18', '31', '55']",2.1,3.3,3.0,1.69,2.15,1.61,2.3
3,1355903,England Premier League 2 Division Two U23,2021/2022,2021-08-16 15:00:00,1,Newcastle United U23,Reading U23,1,1,2,['25'],['78'],1.97,3.9,3.15,1.4,2.64,1.45,2.35
4,1355904,England Premier League 2 Division Two U23,2021/2022,2021-08-16 15:00:00,1,Stoke City U23,Birmingham City U23,2,1,3,"['16', '34']",['84'],1.95,3.84,3.24,1.4,2.64,1.39,2.55
5,1355905,England Premier League 2 Division Two U23,2021/2022,2021-08-16 15:00:00,1,Sunderland U23,Fulham U23,3,4,7,"['37', '56', '64']","['31', '50', '75', '90+1']",2.04,3.72,3.1,1.45,2.48,1.5,2.25
6,1355906,England Premier League 2 Division Two U23,2021/2022,2021-08-16 15:00:00,1,West Bromwich Albion U23,Burnley U23,3,2,5,"['50', '64', '68']","['90+1', '90+4']",2.29,3.72,2.66,1.57,2.25,1.45,2.5
7,1355907,England Premier League 2 Division Two U23,2021/2022,2021-08-16 15:00:00,1,Wolves U23,Middlesbrough U23,2,1,3,"['15', '69']",['71'],3.84,4.05,1.74,1.45,2.48,1.44,2.4
8,1355908,England Premier League 2 Division Two U23,2021/2022,2021-08-20 15:00:00,2,Fulham U23,West Bromwich Albion U23,3,0,3,"['11', '30', '45']",[],2.0,3.6,2.9,1.42,2.57,1.38,2.6
9,1355909,England Premier League 2 Division Two U23,2021/2022,2021-08-20 15:00:00,2,Middlesbrough U23,Aston Villa U23,1,2,3,['34'],"['7', '31']",1.86,3.76,3.2,1.42,2.57,1.41,2.5
10,1355910,England Premier League 2 Division Two U23,2021/2022,2021-08-20 15:00:00,2,Norwich City U23,Stoke City U23,0,1,1,[],['41'],2.55,3.4,2.3,2.38,1.53,1.45,2.35
11,1355914,England Premier League 2 Division Two U23,2021/2022,2021-08-23 15:00:00,2,Reading U23,Wolves U23,3,0,3,"['22', '39', '83']",[],3.25,3.75,1.95,1.42,2.57,1.41,2.5
12,1355913,England Premier League 2 Division Two U23,2021/2022,2021-08-23 15:00:00,2,Nottingham Forest U23,Southampton U23,0,0,0,[],[],2.0,4.0,2.75,1.4,2.64,1.39,2.82
