Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
58,2470785,Scotland League Two,2022/2023,2022-10-29 11:00:00,12,East Fife,Elgin City,2,1,3,"['22', '68']",['52'],2.3,3.3,2.75,1.68,2.07,1.6,2.25
59,2470787,Scotland League Two,2022/2023,2022-10-29 11:00:00,12,Stranraer,Forfar Athletic,1,0,1,['20'],[],2.38,3.3,2.7,1.68,2.07,1.6,2.25
60,2470786,Scotland League Two,2022/2023,2022-10-29 11:00:00,12,Stirling Albion,Bonnyrigg Rose Athletic,2,1,3,"['16', '54']",['40'],1.65,3.6,4.6,1.76,1.95,1.72,2.05
61,2470791,Scotland League Two,2022/2023,2022-11-05 12:00:00,13,Forfar Athletic,Annan Athletic,1,4,5,['71'],"['7', '33', '55', '90+3']",2.06,3.3,3.15,1.73,1.99,1.67,2.15
62,2470792,Scotland League Two,2022/2023,2022-11-05 12:00:00,13,Stenhousemuir,East Fife,2,2,4,"['20', '74']","['73', '90+2']",2.06,3.3,3.15,1.72,2.0,1.63,2.22
63,2470789,Scotland League Two,2022/2023,2022-11-05 12:00:00,13,Bonnyrigg Rose Athletic,Elgin City,2,3,5,"['48', '81']","['8', '21', '43']",2.12,3.3,2.95,1.67,2.07,1.65,2.18
64,2470788,Scotland League Two,2022/2023,2022-11-05 12:00:00,13,Albion Rovers,Stirling Albion,1,1,2,['19'],['86'],3.37,3.35,1.91,1.72,1.9,1.68,2.13
65,2470790,Scotland League Two,2022/2023,2022-11-05 12:00:00,13,Dumbarton,Stranraer,2,0,2,"['45+1', '90+2']",[],1.72,3.55,4.1,1.67,2.07,1.73,2.06
66,2470793,Scotland League Two,2022/2023,2022-11-12 12:00:00,14,East Fife,Albion Rovers,2,3,5,"['20', '65']","['28', '40', '90+3']",1.99,3.58,3.52,1.84,1.97,1.73,2.06
67,2470794,Scotland League Two,2022/2023,2022-11-12 12:00:00,14,Elgin City,Dumbarton,0,4,4,[],"['27', '52', '75', '89']",3.2,3.52,2.13,1.82,1.99,1.65,2.18
68,2470795,Scotland League Two,2022/2023,2022-11-12 12:00:00,14,Forfar Athletic,Bonnyrigg Rose Athletic,1,1,2,['76'],['90+2'],2.28,3.48,2.95,1.83,1.97,1.65,2.18
69,2470796,Scotland League Two,2022/2023,2022-11-12 12:00:00,14,Stirling Albion,Annan Athletic,0,2,2,[],"['71', '90+6']",2.05,3.54,3.38,1.85,1.95,1.68,2.13
70,2470797,Scotland League Two,2022/2023,2022-11-12 12:00:00,14,Stranraer,Stenhousemuir,3,2,5,"['18', '34', '74']","['39', '83']",2.56,3.46,2.56,1.81,2.0,1.62,2.24
71,2470801,Scotland League Two,2022/2023,2022-11-19 12:00:00,15,Stenhousemuir,Bonnyrigg Rose Athletic,1,1,2,['38'],['40'],1.93,3.35,3.0,1.58,2.3,1.55,2.38
72,2470798,Scotland League Two,2022/2023,2022-11-19 12:00:00,15,Albion Rovers,Stranraer,1,0,1,['60'],[],2.37,3.25,2.37,1.84,1.86,1.62,2.23
73,2470799,Scotland League Two,2022/2023,2022-11-19 12:00:00,15,Annan Athletic,Elgin City,1,3,4,['74'],"['26', '42', '88']",1.96,3.35,2.92,1.9,1.9,1.58,2.32
74,2470800,Scotland League Two,2022/2023,2022-11-19 12:00:00,15,Dumbarton,Forfar Athletic,2,2,4,"['40', '64']","['8', '63']",1.8,3.3,3.4,1.88,1.81,1.72,2.05
75,2470802,Scotland League Two,2022/2023,2022-11-19 12:00:00,15,Stirling Albion,East Fife,3,1,4,"['5', '10', '90+3']",['41'],1.74,3.55,3.4,1.56,2.35,1.53,2.4
76,2470822,Scotland League Two,2022/2023,2022-11-26 12:00:00,19,Stranraer,Annan Athletic,1,1,2,['58'],['7'],2.15,3.6,3.0,1.68,2.1,1.64,2.2
77,2470804,Scotland League Two,2022/2023,2022-12-03 12:00:00,16,East Fife,Annan Athletic,1,3,4,['41'],"['9', '51', '80']",2.38,3.3,2.5,1.65,2.2,1.62,2.2
78,2470805,Scotland League Two,2022/2023,2022-12-03 12:00:00,16,Elgin City,Stenhousemuir,2,1,3,"['18', '45+1']",['40'],2.38,3.4,2.45,1.57,2.38,1.5,2.5
79,2470806,Scotland League Two,2022/2023,2022-12-03 12:00:00,16,Forfar Athletic,Albion Rovers,1,0,1,['33'],[],2.0,3.26,2.99,1.8,2.0,1.67,2.1
80,2470807,Scotland League Two,2022/2023,2022-12-03 12:00:00,16,Stranraer,Stirling Albion,3,1,4,"['31', '41', '61']",['15'],3.1,3.4,2.0,1.67,2.15,1.62,2.2
81,2470803,Scotland League Two,2022/2023,2022-12-03 12:00:00,16,Bonnyrigg Rose Athletic,Dumbarton,1,1,2,['45'],['60'],3.0,3.25,2.1,1.85,1.93,1.73,2.0
82,2470819,Scotland League Two,2022/2023,2022-12-10 12:00:00,19,East Fife,Bonnyrigg Rose Athletic,0,0,0,[],[],1.99,3.26,2.97,1.7,2.1,1.6,2.25
83,2470817,Scotland League Two,2022/2023,2022-12-10 12:00:00,18,Stenhousemuir,Forfar Athletic,1,2,3,['90+3'],"['17', '50']",1.99,3.11,3.11,1.7,2.1,1.62,2.2
84,2470813,Scotland League Two,2022/2023,2022-12-23 16:45:00,18,Annan Athletic,Albion Rovers,5,1,6,"['47', '53', '56', '68', '87']",['11'],2.0,3.5,3.5,1.78,2.0,1.65,2.15
85,2470814,Scotland League Two,2022/2023,2022-12-23 16:45:00,18,Bonnyrigg Rose Athletic,Stranraer,3,2,5,"['28', '37', '83']","['13', '86']",2.4,3.4,2.75,1.78,2.0,1.63,2.2
86,2470816,Scotland League Two,2022/2023,2022-12-23 16:45:00,18,Elgin City,Stirling Albion,1,2,3,['66'],"['31', '56']",2.4,3.4,2.75,1.75,2.05,1.65,2.15
87,2470815,Scotland League Two,2022/2023,2022-12-24 10:00:00,18,Dumbarton,East Fife,2,0,2,"['33', '47']",[],1.85,3.78,3.78,1.67,2.1,1.67,2.1
88,2470818,Scotland League Two,2022/2023,2022-12-31 10:00:00,19,Albion Rovers,Dumbarton,0,1,1,[],['70'],2.95,3.15,2.16,2.0,1.73,1.8,1.95
89,2470821,Scotland League Two,2022/2023,2022-12-31 12:00:00,19,Stirling Albion,Stenhousemuir,3,1,4,"['12', '25', '65']",['19'],1.83,3.7,3.55,1.72,2.05,1.62,2.2
90,2470820,Scotland League Two,2022/2023,2023-01-02 12:00:00,19,Forfar Athletic,Elgin City,0,1,1,[],['89'],2.29,3.41,2.67,1.61,2.15,1.62,2.2
91,2470823,Scotland League Two,2022/2023,2023-01-07 12:00:00,20,Annan Athletic,Forfar Athletic,0,2,2,[],"['8', '43']",1.75,3.8,3.85,1.6,2.11,1.59,2.29
92,2470824,Scotland League Two,2022/2023,2023-01-07 12:00:00,20,Bonnyrigg Rose Athletic,Albion Rovers,0,4,4,[],"['7', '38', '41', '90+1']",2.43,3.2,2.69,1.92,1.72,1.75,2.0
93,2470826,Scotland League Two,2022/2023,2023-01-07 12:00:00,20,Elgin City,East Fife,1,2,3,['81'],"['19', '30']",2.0,3.7,3.3,1.62,2.2,1.5,2.5
94,2470827,Scotland League Two,2022/2023,2023-01-07 12:00:00,20,Stenhousemuir,Stranraer,2,1,3,"['22', '39']",['27'],2.1,3.5,3.2,1.62,2.2,1.52,2.45
