Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
33,1540865,Republic of Ireland First Division,2022,2022-04-09 13:00:00,9,Galway United,Wexford,1,1,2,['88'],['17'],1.4,4.5,6.0,1.63,2.15,1.79,2.02
34,1540866,Republic of Ireland First Division,2022,2022-04-09 15:30:00,9,Longford Town,Athlone Town,2,0,2,"['47', '54']",[],1.4,4.75,5.5,1.54,2.33,1.72,2.06
35,1540834,Republic of Ireland First Division,2022,2022-04-12 15:45:00,1,Longford Town,Cobh Ramblers,2,0,2,"['25', '85']",[],1.39,4.7,7.9,1.85,2.0,1.73,2.0
36,1540870,Republic of Ireland First Division,2022,2022-04-15 15:45:00,10,Wexford,Cobh Ramblers,4,2,6,"['2', '27', '46', '60']","['4', '55']",2.0,3.4,3.3,1.81,1.92,1.72,2.07
37,1540869,Republic of Ireland First Division,2022,2022-04-15 15:45:00,10,Waterford,Galway United,0,1,1,[],['13'],1.95,3.25,3.55,1.98,1.75,1.7,2.05
38,1540867,Republic of Ireland First Division,2022,2022-04-15 15:45:00,10,Athlone Town,Treaty United,1,1,2,['82'],['89'],3.95,3.8,1.7,1.68,2.08,1.7,2.1
39,1540868,Republic of Ireland First Division,2022,2022-04-15 15:45:00,10,Cork City,Bray Wanderers,0,0,0,[],[],1.5,3.9,5.75,1.96,1.77,2.0,1.77
40,1540874,Republic of Ireland First Division,2022,2022-04-18 10:00:00,11,Waterford,Cork City,1,2,3,['59'],"['9', '63']",2.42,3.34,2.89,1.89,1.83,1.7,2.05
41,1540871,Republic of Ireland First Division,2022,2022-04-18 11:30:00,11,Bray Wanderers,Longford Town,1,2,3,['79'],"['54', '90+4']",2.66,3.15,2.39,1.96,1.79,1.73,2.0
42,1540872,Republic of Ireland First Division,2022,2022-04-18 12:00:00,11,Cobh Ramblers,Athlone Town,3,2,5,"['45+2', '48', '62']","['46', '89']",1.88,3.53,3.4,1.84,1.9,1.69,2.04
43,1540873,Republic of Ireland First Division,2022,2022-04-18 15:45:00,11,Treaty United,Wexford,2,1,3,"['29', '90+2']",['76'],1.95,3.3,3.4,1.75,1.95,1.65,2.1
44,1540875,Republic of Ireland First Division,2022,2022-04-22 15:45:00,12,Cobh Ramblers,Cork City,2,3,5,"['34', '50']","['13', '31', '68']",9.5,4.75,1.25,1.85,1.86,2.11,1.71
45,1540876,Republic of Ireland First Division,2022,2022-04-22 15:45:00,12,Galway United,Bray Wanderers,2,0,2,"['8', '70']",[],1.52,3.75,5.5,2.0,1.73,1.99,1.8
46,1540877,Republic of Ireland First Division,2022,2022-04-22 15:45:00,12,Wexford,Waterford,0,2,2,[],"['9', '69']",3.95,3.5,1.75,1.71,2.02,1.73,2.08
47,1540878,Republic of Ireland First Division,2022,2022-04-23 15:30:00,12,Longford Town,Treaty United,0,0,0,[],[],1.93,3.5,3.4,1.9,1.98,1.83,1.93
48,1540879,Republic of Ireland First Division,2022,2022-04-29 15:45:00,13,Athlone Town,Wexford,0,3,3,[],"['44', '67', '90']",3.3,3.85,1.94,1.58,2.29,1.57,2.33
49,1540880,Republic of Ireland First Division,2022,2022-04-29 15:45:00,13,Bray Wanderers,Cobh Ramblers,1,1,2,['45+1'],['22'],1.63,3.8,4.9,1.91,1.83,2.0,1.77
50,1540881,Republic of Ireland First Division,2022,2022-04-29 15:45:00,13,Cork City,Longford Town,4,1,5,"['45+2', '55', '84', '89']",['44'],1.82,3.55,4.0,1.83,1.91,1.73,2.0
51,1540882,Republic of Ireland First Division,2022,2022-04-29 15:45:00,13,Treaty United,Galway United,2,3,5,"['14', '62']","['75', '80', '87']",3.65,3.3,2.0,2.18,1.64,1.97,1.8
52,1540885,Republic of Ireland First Division,2022,2022-05-02 10:00:00,14,Waterford,Athlone Town,1,0,1,['74'],[],1.27,5.6,9.2,1.43,2.62,1.93,1.85
53,1540886,Republic of Ireland First Division,2022,2022-05-02 11:00:00,14,Wexford,Bray Wanderers,1,1,2,['13'],['7'],2.12,3.35,3.2,1.86,1.88,1.75,2.05
54,1540884,Republic of Ireland First Division,2022,2022-05-02 13:00:00,14,Galway United,Longford Town,2,0,2,"['50', '72']",[],1.73,3.4,4.1,2.15,1.61,2.1,1.67
55,1540883,Republic of Ireland First Division,2022,2022-05-02 13:00:00,14,Cork City,Treaty United,3,0,3,"['64', '65', '67']",[],1.37,4.2,7.25,1.7,1.85,2.11,1.71
56,1540887,Republic of Ireland First Division,2022,2022-05-06 15:45:00,15,Athlone Town,Cork City,1,2,3,['1'],"['65', '90+4']",7.34,5.22,1.24,1.44,2.59,1.95,1.83
57,1540888,Republic of Ireland First Division,2022,2022-05-06 15:45:00,15,Bray Wanderers,Waterford,1,4,5,['88'],"['23', '54', '90', '90+3']",3.5,3.26,1.8,2.03,1.75,1.89,1.89
58,1540889,Republic of Ireland First Division,2022,2022-05-06 15:45:00,15,Cobh Ramblers,Galway United,0,4,4,[],"['20', '36', '45+2', '90+1']",4.84,3.83,1.48,1.9,1.88,1.95,1.83
59,1540890,Republic of Ireland First Division,2022,2022-05-07 15:30:00,15,Longford Town,Wexford,2,1,3,"['25', '90+4']",['2'],1.61,3.75,4.4,1.71,2.06,1.73,2.05
60,1540891,Republic of Ireland First Division,2022,2022-05-13 15:45:00,16,Athlone Town,Longford Town,1,2,3,['19'],"['30', '34']",4.4,3.7,1.61,1.6,2.2,1.67,2.1
61,1540892,Republic of Ireland First Division,2022,2022-05-13 15:45:00,16,Treaty United,Bray Wanderers,2,2,4,"['9', '79']","['60', '84']",2.3,3.0,2.8,2.0,1.73,1.8,1.91
62,1540893,Republic of Ireland First Division,2022,2022-05-13 15:45:00,16,Waterford,Cobh Ramblers,4,2,6,"['34', '50', '78', '90+2']","['3', '37']",1.28,4.75,9.0,1.6,2.2,1.91,1.8
63,1540894,Republic of Ireland First Division,2022,2022-05-13 15:45:00,16,Wexford,Galway United,0,4,4,[],"['9', '15', '28', '71']",3.75,3.1,1.87,2.05,1.7,1.85,1.85
64,1540845,Republic of Ireland First Division,2022,2022-05-16 15:45:00,4,Treaty United,Longford Town,0,0,0,[],[],2.83,3.4,2.21,2.05,1.83,1.78,1.99
65,1540895,Republic of Ireland First Division,2022,2022-05-20 15:45:00,17,Cork City,Wexford,1,1,2,['23'],['48'],1.27,5.0,7.5,1.54,2.33,1.91,1.85
66,1540896,Republic of Ireland First Division,2022,2022-05-20 15:45:00,17,Galway United,Athlone Town,3,0,3,"['54', '80', '89']",[],1.15,6.3,10.5,1.41,2.69,2.14,1.67
67,1540897,Republic of Ireland First Division,2022,2022-05-20 15:45:00,17,Treaty United,Cobh Ramblers,2,2,4,"['6', '54']","['17', '52']",1.84,3.5,3.8,1.97,1.76,1.91,1.85
68,1540898,Republic of Ireland First Division,2022,2022-05-21 15:30:00,17,Longford Town,Waterford,0,3,3,[],"['13', '77', '90+4']",2.75,3.25,2.18,1.8,1.91,1.67,2.1
69,1540901,Republic of Ireland First Division,2022,2022-05-27 15:45:00,18,Galway United,Cork City,0,1,1,[],['18'],2.65,3.0,2.6,2.15,1.61,1.97,1.82
70,1540902,Republic of Ireland First Division,2022,2022-05-27 15:45:00,18,Waterford,Treaty United,4,0,4,"['51', '63', '67', '90+1']",[],1.35,4.75,7.5,1.67,2.05,1.92,1.86
71,1540899,Republic of Ireland First Division,2022,2022-05-27 15:45:00,18,Bray Wanderers,Athlone Town,3,0,3,"['19', '64', '73']",[],1.62,3.95,4.5,1.61,2.15,1.76,2.04
72,1540900,Republic of Ireland First Division,2022,2022-05-27 15:45:00,18,Cobh Ramblers,Longford Town,2,4,6,"['8', '61']","['17', '49', '60', '66']",3.3,3.55,1.95,1.8,1.91,1.69,2.14
73,1540906,Republic of Ireland First Division,2022,2022-06-10 15:45:00,19,Longford Town,Bray Wanderers,1,1,2,['44'],['24'],1.76,3.55,3.83,1.81,1.93,1.8,1.91
74,1540905,Republic of Ireland First Division,2022,2022-06-10 15:45:00,19,Wexford,Treaty United,1,1,2,['6'],['2'],2.04,3.43,3.03,1.71,2.07,1.62,2.2
75,1540903,Republic of Ireland First Division,2022,2022-06-10 15:45:00,19,Athlone Town,Cobh Ramblers,5,2,7,"['10', '21', '47', '61', '67']","['18', '54']",3.53,3.43,1.87,1.72,2.05,1.67,2.1
