Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
31,1301375,Portugal Liga NOS,2021/2022,2021-08-28 14:00:00,4,Porto,FC Arouca,3,0,3,"['24', '34', '63']",[],1.21,6.75,13.0,1.5,2.55,2.1,1.71
32,1301379,Portugal Liga NOS,2021/2022,2021-08-28 16:30:00,4,Famalicão,Sporting CP,1,1,2,['68'],['82'],6.5,3.9,1.53,1.95,1.83,2.1,1.69
33,1301376,Portugal Liga NOS,2021/2022,2021-08-29 14:00:00,4,Benfica,CD Tondela,2,1,3,"['71', '88']",['22'],1.1,10.5,23.0,1.37,3.0,2.25,1.59
34,1301377,Portugal Liga NOS,2021/2022,2021-08-29 14:00:00,4,Sporting Braga,Vitória Guimarães,0,0,0,[],[],1.87,3.4,4.1,1.87,1.91,1.8,2.0
35,1301381,Portugal Liga NOS,2021/2022,2021-08-29 16:30:00,4,Portimonense,Paços de Ferreira,0,1,1,[],['45+1'],2.15,3.05,3.65,2.45,1.54,2.15,1.69
36,1301378,Portugal Liga NOS,2021/2022,2021-08-29 16:30:00,4,Santa Clara,Gil Vicente,1,0,1,['12'],[],2.6,2.9,2.9,2.3,1.59,2.0,1.77
37,1301385,Portugal Liga NOS,2021/2022,2021-09-11 11:30:00,5,Paços de Ferreira,Sporting Braga,0,0,0,[],[],4.5,3.4,1.8,2.05,1.74,1.95,1.8
38,1301386,Portugal Liga NOS,2021/2022,2021-09-11 14:00:00,5,Santa Clara,Benfica,0,5,5,[],"['42', '53', '58', '62', '68']",5.2,4.05,1.56,1.65,2.11,2.0,1.8
39,1301384,Portugal Liga NOS,2021/2022,2021-09-11 16:30:00,5,Sporting CP,Porto,1,1,2,['16'],['71'],2.55,3.05,2.9,2.1,1.71,1.87,1.91
40,1301388,Portugal Liga NOS,2021/2022,2021-09-12 11:30:00,5,Moreirense FC,Famalicão,2,2,4,"['11', '71']","['20', '47']",2.7,3.15,2.6,2.08,1.71,1.87,1.91
41,1301389,Portugal Liga NOS,2021/2022,2021-09-12 14:00:00,5,Gil Vicente,FC Vizela,2,2,4,"['61', '90']","['24', '73']",2.45,3.0,3.05,2.2,1.67,1.95,1.83
42,1301391,Portugal Liga NOS,2021/2022,2021-09-12 14:00:00,5,Boavista FC,Portimonense,1,1,2,['90+2'],['45'],2.85,2.9,2.65,2.4,1.54,2.1,1.71
43,1301387,Portugal Liga NOS,2021/2022,2021-09-12 16:30:00,5,Vitória Guimarães,Belenenses,0,0,0,[],[],1.44,4.2,7.5,1.91,1.87,2.1,1.69
44,1301392,Portugal Liga NOS,2021/2022,2021-09-13 15:00:00,5,CS Marítimo,FC Arouca,2,2,4,"['35', '45+11']","['8', '82']",2.35,3.0,3.2,2.4,1.54,2.1,1.71
45,1301390,Portugal Liga NOS,2021/2022,2021-09-13 17:15:00,5,CD Tondela,GD Estoril Praia,1,2,3,['50'],"['20', '44']",3.1,3.25,2.35,1.93,1.78,1.83,1.95
46,1301398,Portugal Liga NOS,2021/2022,2021-09-17 16:15:00,6,Portimonense,Santa Clara,2,1,3,"['10', '44']",['20'],2.25,3.0,3.45,2.6,1.49,2.25,1.62
47,1301396,Portugal Liga NOS,2021/2022,2021-09-18 11:30:00,6,Famalicão,CS Marítimo,0,0,0,[],[],1.83,3.5,4.15,2.1,1.71,2.0,1.8
48,1301397,Portugal Liga NOS,2021/2022,2021-09-18 14:00:00,6,Belenenses,Gil Vicente,1,1,2,['83'],['90+2'],3.25,3.25,2.15,2.35,1.53,2.1,1.71
