League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
Azerbaijan First Division,2022/2023,2022-08-24 09:30:00,1,Turan Tovuz II,Keşlə II,1,0,1,['16'],[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan First Division,2022/2023,2022-08-24 09:30:00,1,MOIK,Zaqatala,2,0,2,"['45+1', '90']",[],1.77,3.85,3.25,1.43,1.41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Azerbaijan First Division,2022/2023,2022-08-24 10:00:00,1,Araz,Qarabağ II,5,1,6,"['23', '40', '45+3', '71', '84']",['54'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Azerbaijan First Division,2022/2023,2022-08-24 12:30:00,1,Zira II,Kapaz II,2,2,4,"['-1', '-1']","['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Azerbaijan First Division,2022/2023,2022-08-25 09:30:00,1,FK Qəbələ II,Mil Mugan FK,2,0,2,"['39', '50']",[],1.42,4.3,6.2,1.79,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Azerbaijan First Division,2022/2023,2022-08-25 09:30:00,1,Energetik,Neftçi II,4,1,5,"['26', '31', '49', '56']",['68'],4.7,4.1,1.55,1.63,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Azerbaijan First Division,2022/2023,2022-08-25 09:30:00,1,Qaradağ Lökbatan,Səbail II,0,1,1,[],['60'],1.51,4.3,4.9,1.62,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan First Division,2022/2023,2022-08-30 09:30:00,2,Zaqatala,Energetik,2,1,3,"['33', '84']",['14'],3.31,3.93,1.77,1.38,1.44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Azerbaijan First Division,2022/2023,2022-08-30 09:30:00,2,Qarabağ II,MOIK,0,0,0,[],[],2.5,3.11,2.5,1.98,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan First Division,2022/2023,2022-08-30 10:00:00,2,Neftçi II,Qaradağ Lökbatan,2,0,2,"['20', '76']",[],4.78,3.71,1.56,1.54,1.68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Azerbaijan First Division,2022/2023,2022-08-31 09:00:00,2,Turan Tovuz II,Kapaz II,3,1,4,"['-1', '-1', '-1']",['-1'],1.91,3.55,3.17,1.66,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Azerbaijan First Division,2022/2023,2022-08-31 09:30:00,2,Keşlə II,FK Qəbələ II,3,2,5,"['64', '66', '70']","['11', '89']",2.18,3.5,2.8,1.79,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Azerbaijan First Division,2022/2023,2022-08-31 10:00:00,2,Mil Mugan FK,Araz,0,3,3,[],"['20', '57', '60']",8.4,5.85,1.25,1.31,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan First Division,2022/2023,2022-08-31 10:00:00,2,Sumqayıt II,Zira II,1,0,1,['79'],[],2.57,3.2,2.57,2.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan First Division,2022/2023,2022-09-06 09:00:00,3,Turan Tovuz II,Sumqayıt II,3,0,3,"['11', '59', '76']",[],1.57,4.13,4.75,1.64,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Azerbaijan First Division,2022/2023,2022-09-06 09:30:00,3,FK Qəbələ II,Kapaz II,1,0,1,['12'],[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan First Division,2022/2023,2022-09-06 09:30:00,3,Araz,Keşlə II,5,0,5,"['21', '36', '47', '51', '60']",[],1.26,5.49,9.56,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Azerbaijan First Division,2022/2023,2022-09-07 09:30:00,3,MOIK,Mil Mugan FK,3,2,5,"['77', '84', '87']","['37', '41']",1.66,3.66,4.66,2.14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Azerbaijan First Division,2022/2023,2022-09-07 09:30:00,3,Energetik,Qarabağ II,0,4,4,[],"['23', '38', '63', '78']",3.19,3.82,1.98,1.67,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
